context: Signs response:	Gin
context: Signs\Gin response:	kgo
context: Signs\Gin\kgo response:	kgo
context: Signs\Gin\kgo\kgo response:	Fair
context: Signs\Gin\kgo\kgo\Fair response:	It was the first time I'd ever hugged a girl.
context: Signs\Gin\kgo\kgo\Fair\It was the first time I'd ever hugged a girl. response:	I could feel a slight heat beyond the soft sensation.
context: Signs\Gin\kgo\kgo\Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation. response:	She was so fragile, I felt like she'd break if I held her any tighter.
context: Signs\Gin\kgo\kgo\Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter. response:	So lost and sad...
context: Gin\kgo\kgo\Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad... response:	Rikka...
context: kgo\kgo\Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka... response:	Rikka?
context: kgo\Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka...\Rikka? response:	Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!
context: Fair\It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it! response:	Students are to leave the school by 8pm at the latest.
context: It was the first time I'd ever hugged a girl.\I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest. response:	Master!
context: I could feel a slight heat beyond the soft sensation.\She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master! response:	Do you dare design to draw forth the deathly night of devils from this darkness?
context: She was so fragile, I felt like she'd break if I held her any tighter.\So lost and sad...\Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness? response:	Master?
context: So lost and sad...\Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master? response:	You're still as death! Did you freeze yourself in time?!
context: Rikka...\Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?! response:	It doesn't seem that you have.
context: Rikka?\Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have. response:	Master?
context: Forget it! Forget it! Forget it! Forget it! Forget it! Forget it!\Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master? response:	What the death are you doing? Master!
context: Students are to leave the school by 8pm at the latest.\Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master?\What the death are you doing? Master! response:	Could it be that Master finally accepts me as...
context: Master!\Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as... response:	Master, we mustn't!
context: Do you dare design to draw forth the deathly night of devils from this darkness?\Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't! response:	I'm your servant! We mustn't give in to our emotions like this!
context: Master?\You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this! response:	Though of course, it's only natural that strong joy should turn to passion...
context: You're still as death! Did you freeze yourself in time?!\It doesn't seem that you have.\Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this!\Though of course, it's only natural that strong joy should turn to passion... response:	Master?
context: It doesn't seem that you have.\Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this!\Though of course, it's only natural that strong joy should turn to passion...\Master? response:	I hugged Yuuta.
context: Master?\What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this!\Though of course, it's only natural that strong joy should turn to passion...\Master?\I hugged Yuuta. response:	I love Yuuta.
context: What the death are you doing? Master!\Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this!\Though of course, it's only natural that strong joy should turn to passion...\Master?\I hugged Yuuta.\I love Yuuta. response:	Master?
context: Could it be that Master finally accepts me as...\Master, we mustn't!\I'm your servant! We mustn't give in to our emotions like this!\Though of course, it's only natural that strong joy should turn to passion...\Master?\I hugged Yuuta.\I love Yuuta.\Master? response:	No way... Are you just a fake copy of Master?!
