context: Hey all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, all right?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right? response:	Previously on Fairy Tail!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail! response:	Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora! response:	And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell! response:	You're the one who killed Ul!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul! response:	Lyon... Do we live together or die together?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together? response:	That's right, we can do it!
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: and sit back from the screen, all right?\Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Previously on Fairy Tail!\Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: Reitei Lyon is Gray's former fellow pupil and is plotting to resurrect Deliora!\And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: And it was their master, Ul, who sealed it using a spell that turns your own body into ice, Iced Shell!\You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: You're the one who killed Ul!\Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: Lyon... Do we live together or die together?\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
context: which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right? response:	Tell me! S. O. W.
context: This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W. response:	Living itself will be our training!
context: It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training! response:	So, we can make it!
context: Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it! response:	Let's search for even more who-knows-what!
context: What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what! response:	We can't be satisfied with just the normal answers
context: Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers response:	This magical wonder life
context: The only part leveling up is my curiosity\We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life response:	Our future is wondering!!!
context: We can't just throw away our daily life together, right?\Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!! response:	We'll do our best living our life
context: Tell me! S. O. W.\Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life response:	the way we want to!
context: Living itself will be our training!\So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to! response:	Let's wondering!!!
context: So, we can make it!\Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!! response:	Do it!
context: Let's search for even more who-knows-what!\We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Do it! response:	You don't have the guts to die!
context: We can't be satisfied with just the normal answers\This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Do it!\You don't have the guts to die! response:	Too bad.
context: This magical wonder life\Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Do it!\You don't have the guts to die!\Too bad. response:	Gray!
context: Our future is wondering!!!\We'll do our best living our life\the way we want to!\Let's wondering!!!\Do it!\You don't have the guts to die!\Too bad.\Gray! response:	Natsu, Erza, everyone at Fairy Tail...
context: We'll do our best living our life\the way we want to!\Let's wondering!!!\Do it!\You don't have the guts to die!\Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail... response:	It's up to you now...
context: the way we want to!\Let's wondering!!!\Do it!\You don't have the guts to die!\Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now... response:	Sorry, but I'm making my exit!
context: Let's wondering!!!\Do it!\You don't have the guts to die!\Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit! response:	This is... the end!
context: Do it!\You don't have the guts to die!\Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit!\This is... the end! response:	Iced...
context: You don't have the guts to die!\Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit!\This is... the end!\Iced... response:	You idiot!
context: Too bad.\Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit!\This is... the end!\Iced...\You idiot! response:	Natsu!
context: Gray!\Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit!\This is... the end!\Iced...\You idiot!\Natsu! response:	You break into my fight spouting responsibility? Give me a break!
context: Natsu, Erza, everyone at Fairy Tail...\It's up to you now...\Sorry, but I'm making my exit!\This is... the end!\Iced...\You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break! response:	Don't be takin' my kill!
context: It's up to you now...\Sorry, but I'm making my exit!\This is... the end!\Iced...\You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill! response:	Your kill?
context: Sorry, but I'm making my exit!\This is... the end!\Iced...\You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill!\Your kill? response:	I'm the one that's gonna beat him!
context: This is... the end!\Iced...\You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill!\Your kill?\I'm the one that's gonna beat him! response:	Didn't I tell you that I'd take him down?
context: Iced...\You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill!\Your kill?\I'm the one that's gonna beat him!\Didn't I tell you that I'd take him down? response:	And did I ever say, Yes, Roger that, Sir?
context: You idiot!\Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill!\Your kill?\I'm the one that's gonna beat him!\Didn't I tell you that I'd take him down?\And did I ever say, Yes, Roger that, Sir? response:	Why you little...
context: Natsu!\You break into my fight spouting responsibility? Give me a break!\Don't be takin' my kill!\Your kill?\I'm the one that's gonna beat him!\Didn't I tell you that I'd take him down?\And did I ever say, Yes, Roger that, Sir?\Why you little... response:	You wanna go?
