context: Final check of internal Kivotos systems. response:	Communication systems.
context: Final check of internal Kivotos systems.\Communication systems. response:	Electronic systems.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems. response:	Engine systems.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems.\Engine systems. response:	All systems green.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems.\Engine systems.\All systems green. response:	Transferring control authority to Kivotos.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems.\Engine systems.\All systems green.\Transferring control authority to Kivotos. response:	Boost capacitor has reached engine ignition threshold.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems.\Engine systems.\All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold. response:	Thruster engine is idling.
context: Final check of internal Kivotos systems.\Communication systems.\Electronic systems.\Engine systems.\All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling. response:	Kivotos hangar entrance opening rate is presently at ninety-three percent.
context: Communication systems.\Electronic systems.\Engine systems.\All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent. response:	Releasing docking bolts A0 to F10.
context: Electronic systems.\Engine systems.\All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10. response:	Kivotos thruster ignition confirmed.
context: Engine systems.\All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed. response:	Output is rising.
context: All systems green.\Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising. response:	Guidance beacon signal response is excellent.
context: Transferring control authority to Kivotos.\Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent. response:	Kivotos following specified coordinates.
context: Boost capacitor has reached engine ignition threshold.\Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates. response:	The Kivotos can function as an independent spaceship,
context: Thruster engine is idling.\Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship, response:	but it only has standard rocket propulsion, of course.
context: Kivotos hangar entrance opening rate is presently at ninety-three percent.\Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course. response:	Theoretically, it's possible for it to undergo hyperspace transport
context: Releasing docking bolts A0 to F10.\Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport response:	while docked with the Blume via Entangle Link.
context: Kivotos thruster ignition confirmed.\Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link. response:	But this will be our first time actually doing it.
context: Output is rising.\Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it. response:	This is risky...
context: Guidance beacon signal response is excellent.\Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky... response:	Navigation system.
context: Kivotos following specified coordinates.\The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky...\Navigation system. response:	Autopilot.
context: The Kivotos can function as an independent spaceship,\but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky...\Navigation system.\Autopilot. response:	Directional transmitter system.
context: but it only has standard rocket propulsion, of course.\Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky...\Navigation system.\Autopilot.\Directional transmitter system. response:	Check.
context: Theoretically, it's possible for it to undergo hyperspace transport\while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky...\Navigation system.\Autopilot.\Directional transmitter system.\Check. response:	Avionics okay.
context: while docked with the Blume via Entangle Link.\But this will be our first time actually doing it.\This is risky...\Navigation system.\Autopilot.\Directional transmitter system.\Check.\Avionics okay. response:	This will be the first time someone from Earth has experienced an Entangle Link.
context: But this will be our first time actually doing it.\This is risky...\Navigation system.\Autopilot.\Directional transmitter system.\Check.\Avionics okay.\This will be the first time someone from Earth has experienced an Entangle Link. response:	We can't predict what effect it will have on the two Earth crew members.
