context: I meant for you to hide here. response:	If I don't forget, I'll come back and dig you out.
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out. response:	Are you sure? You must not forget.
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget. response:	Grandpa, is Kagome's story true?
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true? response:	'Course it's true!
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true! response:	A ghost appeared from inside the well...
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well... response:	and kidnapped Kagome!
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome! response:	As the legend of our shrine goes...
context: I meant for you to hide here.\If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes... response:	There is something in the bone-devouring well
context: If I don't forget, I'll come back and dig you out.\Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well response:	that takes the corpses of evil spirits
context: Are you sure? You must not forget.\Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits response:	and makes them disappear somewhere.
context: Grandpa, is Kagome's story true?\'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere. response:	And if this somewhereis in the time dimension...
context: 'Course it's true!\A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension... response:	Well, we must do something.
context: A ghost appeared from inside the well...\and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something. response:	There!
context: and kidnapped Kagome!\As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something.\There! response:	Huh? Sealed?
context: As the legend of our shrine goes...\There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something.\There!\Huh? Sealed? response:	Yes...
context: There is something in the bone-devouring well\that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something.\There!\Huh? Sealed?\Yes... response:	With written oracles to ward off evil spirits
context: that takes the corpses of evil spirits\and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something.\There!\Huh? Sealed?\Yes...\With written oracles to ward off evil spirits response:	and seal off the entry to the netherworld.
context: and makes them disappear somewhere.\And if this somewhereis in the time dimension...\Well, we must do something.\There!\Huh? Sealed?\Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld. response:	The well will never be opened again.
context: And if this somewhereis in the time dimension...\Well, we must do something.\There!\Huh? Sealed?\Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again. response:	No mistaking the smell of that girl...
context: Well, we must do something.\There!\Huh? Sealed?\Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl... response:	Her clothing...
context: There!\Huh? Sealed?\Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl...\Her clothing... response:	Damn! She really did go home...
context: Huh? Sealed?\Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home... response:	In here!
context: Yes...\With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home...\In here! response:	Hmmm... Home sweet home!
context: With written oracles to ward off evil spirits\and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home...\In here!\Hmmm... Home sweet home! response:	It's like it never happened...
context: and seal off the entry to the netherworld.\The well will never be opened again.\No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home...\In here!\Hmmm... Home sweet home!\It's like it never happened... response:	that I was in another age and another time.
context: The well will never be opened again.\No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home...\In here!\Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time. response:	You must combine your powers with Inuyasha
context: No mistaking the smell of that girl...\Her clothing...\Damn! She really did go home...\In here!\Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha response:	and gather the fragments of the Sacred Jewel and restore it.
context: Her clothing...\Damn! She really did go home...\In here!\Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it. response:	Oh dear... The Sacred Jewel is in pieces.
context: Damn! She really did go home...\In here!\Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces. response:	That Yura with the inverted hair...
context: In here!\Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair... response:	I wonder what she was?
context: Hmmm... Home sweet home!\It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was? response:	She must've been after the Jewel, too.
context: It's like it never happened...\that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too. response:	I'll bet Inuyasha would be so angry
context: that I was in another age and another time.\You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry response:	if he learned that the fragment was stolen from me.
context: You must combine your powers with Inuyasha\and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me. response:	Who cares about you!? I prefer to go it alone!
context: and gather the fragments of the Sacred Jewel and restore it.\Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone! response:	Yes...
context: Oh dear... The Sacred Jewel is in pieces.\That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes... response:	Inuyasha can manage without me.
context: That Yura with the inverted hair...\I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me. response:	All right, I'll forget him.
context: I wonder what she was?\She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me.\All right, I'll forget him. response:	Besides, I can never return to that world again.
context: She must've been after the Jewel, too.\I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again. response:	Kagome, Yuka is on the phone. And it's also dinnertime!
context: I'll bet Inuyasha would be so angry\if he learned that the fragment was stolen from me.\Who cares about you!? I prefer to go it alone!\Yes...\Inuyasha can manage without me.\All right, I'll forget him.\Besides, I can never return to that world again.\Kagome, Yuka is on the phone. And it's also dinnertime! response:	Okay!
