context: New School Term response:	I knew this would happen, but...
context: New School Term\I knew this would happen, but... response:	2nd Year, Class B
context: New School Term\I knew this would happen, but...\2nd Year, Class B response:	because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.
context: New School Term\I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher. response:	Um, lunch...
context: New School Term\I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch... response:	Hurry!
context: New School Term\I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry! response:	They'll sell out of the double minced meat sandwich!
context: New School Term\I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich! response:	Whatever! I'm getting the fried chicken potato salad sandwich!
context: New School Term\I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich! response:	The ball is your friend! I'm prepared to shock the world!
context: I knew this would happen, but...\2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world! response:	Hey, is it true he's a year older?
context: 2nd Year, Class B\because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older? response:	Then he's repeating the year? Why?
context: because of the class changes in the 2nd year, Mr. Hayashida was no longer my teacher.\Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why? response:	I heard he plays shogi or something. I'm not sure.
context: Um, lunch...\Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure. response:	What? Isn't shogi a game for old men?
context: Hurry!\They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men? response:	Shogi? Game? At home? An otaku?
context: They'll sell out of the double minced meat sandwich!\Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku? response:	Is that why he's repeating? Because he ditched so much school?
context: Whatever! I'm getting the fried chicken potato salad sandwich!\The ball is your friend! I'm prepared to shock the world!\Hey, is it true he's a year older?\Then he's repeating the year? Why?\I heard he plays shogi or something. I'm not sure.\What? Isn't shogi a game for old men?\Shogi? Game? At home? An otaku?\Is that why he's repeating? Because he ditched so much school? response:	Huh. Is that right?
