context: That day, when I turned 17... response:	I like you, Otani!
context: That day, when I turned 17...\I like you, Otani! response:	Even now, that scene is burned into my mind.
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind. response:	The blooming fireworks in the midsummer sky...
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky... response:	What's with you? Saying a thing like that out of nowhere...
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere... response:	You're embarrassing me.
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me. response:	That stupid, blank looking face of yours...
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours... response:	Well, you can be a pain sometimes, but I think you're a nice girl too.
context: That day, when I turned 17...\I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too. response:	No, no, no. That's not what I meant...
context: I like you, Otani!\Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant... response:	No need to be embarrassed.
context: Even now, that scene is burned into my mind.\The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed. response:	Once the new semester starts, we All Hanshin-Kyojin need to do our best too.
context: The blooming fireworks in the midsummer sky...\What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too. response:	Hey, how about the two of us auditioning for a comedy show?
context: What's with you? Saying a thing like that out of nowhere...\You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show? response:	17th Maido Festival
context: You're embarrassing me.\That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival response:	I'll never forget what happened that day.
context: That stupid, blank looking face of yours...\Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day. response:	Sunk! The Worst Confession in History!!
context: Well, you can be a pain sometimes, but I think you're a nice girl too.\No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!! response:	Forever...
context: No, no, no. That's not what I meant...\No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever... response:	I'll curse you until your great-grandchildren are born.
context: No need to be embarrassed.\Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born. response:	Haunted House 2nd Year Class 3
context: Once the new semester starts, we All Hanshin-Kyojin need to do our best too.\Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3 response:	What's up with you?
context: Hey, how about the two of us auditioning for a comedy show?\17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you? response:	Remember this, you midget...
context: 17th Maido Festival\I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget... response:	I'll make it so you never laugh again.
context: I'll never forget what happened that day.\Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget...\I'll make it so you never laugh again. response:	Man, what the heck is your problem?!
context: Sunk! The Worst Confession in History!!\Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?! response:	You've been cursing me every day since the new semester started.
context: Forever...\I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started. response:	CURSE
context: I'll curse you until your great-grandchildren are born.\Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started.\CURSE response:	That's right.
context: Haunted House 2nd Year Class 3\What's up with you?\Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started.\CURSE\That's right. response:	I'm going to curse you and make you shrink 1cm every day.
context: What's up with you?\Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started.\CURSE\That's right.\I'm going to curse you and make you shrink 1cm every day. response:	In 156 days, you'll vanish completely.
context: Remember this, you midget...\I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started.\CURSE\That's right.\I'm going to curse you and make you shrink 1cm every day.\In 156 days, you'll vanish completely. response:	Hey!
context: I'll make it so you never laugh again.\Man, what the heck is your problem?!\You've been cursing me every day since the new semester started.\CURSE\That's right.\I'm going to curse you and make you shrink 1cm every day.\In 156 days, you'll vanish completely.\Hey! response:	You in the ghost costume, and Mr Promoter over there!
