context: Goshinki, a demon created out of Naraku's body... response:	His fangs were used to forge the evil sword Tokijin...
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin... response:	by Kaijinbo who appeared before Inuyasha!
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha! response:	His eyes were strange...
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange... response:	and his movements, as though he were being manipulated.
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated. response:	Playtime is over.
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over. response:	You should've killed me in one sweep.
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep. response:	Before this happened...
context: Goshinki, a demon created out of Naraku's body...\His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep.\Before this happened... response:	I'll slice you in half along with your sword!
context: His fangs were used to forge the evil sword Tokijin...\by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword! response:	A draw?
context: by Kaijinbo who appeared before Inuyasha!\His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword!\A draw? response:	Draw?! No way!
context: His eyes were strange...\and his movements, as though he were being manipulated.\Playtime is over.\You should've killed me in one sweep.\Before this happened...\I'll slice you in half along with your sword!\A draw?\Draw?! No way! response:	I'll admit that sword is a handful, but that Kaijinbo isn't in control of it!
