context: Good work today! response:	A drinking party.
context: Good work today!\A drinking party. response:	An indispensable and much-anticipated event in college life.
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life. response:	Talking with people you get along with.
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with. response:	Your first alcoholic drink.
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink. response:	And...
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink.\And... response:	Kanade-chan, your face is all red.
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink.\And...\Kanade-chan, your face is all red. response:	Is it? I'm not very good with alcohol...
context: Good work today!\A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink.\And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol... response:	You okay? What do you say the two of us go talk somewhere or something?
context: A drinking party.\An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink.\And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something? response:	All right.
context: An indispensable and much-anticipated event in college life.\Talking with people you get along with.\Your first alcoholic drink.\And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right. response:	Are you all right, Kanade?
context: Talking with people you get along with.\Your first alcoholic drink.\And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade? response:	Shall we discuss prime numbers or something?
context: Your first alcoholic drink.\And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something? response:	It's amazing they solved the Poincare conjecture without using topology.
context: And...\Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology. response:	Though that kind of thing...
context: Kanade-chan, your face is all red.\Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing... response:	I agree.
context: Is it? I'm not very good with alcohol...\You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree. response:	isn't something you could ever hope for here in the Ikeda lab...
context: You okay? What do you say the two of us go talk somewhere or something?\All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree.\isn't something you could ever hope for here in the Ikeda lab... response:	Their thinking in using Thurston's geometrization conjecture was truly beautiful.
context: All right.\Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree.\isn't something you could ever hope for here in the Ikeda lab...\Their thinking in using Thurston's geometrization conjecture was truly beautiful. response:	Science Fell in Love, So I Tried to Prove It
context: Are you all right, Kanade?\Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree.\isn't something you could ever hope for here in the Ikeda lab...\Their thinking in using Thurston's geometrization conjecture was truly beautiful.\Science Fell in Love, So I Tried to Prove It response:	Proof 7 Science-types Fell in Love, So They Tried Having a Drinking Party.
context: Shall we discuss prime numbers or something?\It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree.\isn't something you could ever hope for here in the Ikeda lab...\Their thinking in using Thurston's geometrization conjecture was truly beautiful.\Science Fell in Love, So I Tried to Prove It\Proof 7 Science-types Fell in Love, So They Tried Having a Drinking Party. response:	Good work today!
context: It's amazing they solved the Poincare conjecture without using topology.\Though that kind of thing...\I agree.\isn't something you could ever hope for here in the Ikeda lab...\Their thinking in using Thurston's geometrization conjecture was truly beautiful.\Science Fell in Love, So I Tried to Prove It\Proof 7 Science-types Fell in Love, So They Tried Having a Drinking Party.\Good work today! response:	This school year is half over,
