context: Only three of you are running under thirty minutes. response:	I'm impressed you're all able to run a 10K now, but...
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but... response:	We still have three weeks until the qualifier.
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier. response:	20km is the base distance for cross country, but none of us will drop out.
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out. response:	On the track, I'm planning to push the build-up runs we'd been holding back on this spring,
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring, response:	so we can finish the last thousand meters in 2:50.
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50. response:	I'm impressed.
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed. response:	You got a bunch of total amateurs to the qualifier.
context: Only three of you are running under thirty minutes.\I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier. response:	That's more than good enough to hold your own coaching lecture.
context: I'm impressed you're all able to run a 10K now, but...\We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture. response:	Making it to the qualifier isn't our goal.
context: We still have three weeks until the qualifier.\20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal. response:	Well, yeah.
context: 20km is the base distance for cross country, but none of us will drop out.\On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah. response:	My legs and hips are shot, but I still have my experience.
context: On the track, I'm planning to push the build-up runs we'd been holding back on this spring,\so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience. response:	I'll tell you everything I can.
context: so we can finish the last thousand meters in 2:50.\I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can. response:	Anyway, qualifiers are...
context: I'm impressed.\You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are... response:	Looks like your legs and hips still work.
context: You got a bunch of total amateurs to the qualifier.\That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work. response:	Run with the Wind
context: That's more than good enough to hold your own coaching lecture.\Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind response:	Kansei University
context: Making it to the qualifier isn't our goal.\Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind\Kansei University response:	Kansei University honors the spirit of Matsudaira Sadanobu,
context: Well, yeah.\My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu, response:	Chairman's Office
context: My legs and hips are shot, but I still have my experience.\I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office response:	who promoted the Kansei Reforms.
context: I'll tell you everything I can.\Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms. response:	We value both academics and athletics.
context: Anyway, qualifiers are...\Looks like your legs and hips still work.\Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics. response:	Wow! That's us!
context: Looks like your legs and hips still work.\Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us! response:	We're in the paper! Yay!
context: Run with the Wind\Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay! response:	I never thought I'd appear in a newspaper.
context: Kansei University\Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper. response:	Aiming For the Top” 10 men take on the Hakone Ekiden
context: Kansei University honors the spirit of Matsudaira Sadanobu,\Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden response:	Okay, smile.
context: Chairman's Office\who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile. response:	Since you haven't made it through the qualifier,
context: who promoted the Kansei Reforms.\We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier, response:	getting you into the sports section might be difficult,
context: We value both academics and athletics.\Wow! That's us!\We're in the paper! Yay!\I never thought I'd appear in a newspaper.\Aiming For the Top” 10 men take on the Hakone Ekiden\Okay, smile.\Since you haven't made it through the qualifier,\getting you into the sports section might be difficult, response:	but your attempt itself is captivating.
