context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J response:	J Gotta catch'em all Gotta catch'em all J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J response:	J Pokemon! J
context: J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J response:	With two Pokemon badges pinned to his jacket,
context: J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\With two Pokemon badges pinned to his jacket, response:	our hero, Ash, marches boldly along the path to, uh...
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\With two Pokemon badges pinned to his jacket,\our hero, Ash, marches boldly along the path to, uh... response:	-the path to... -Where are we going?
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\With two Pokemon badges pinned to his jacket,\our hero, Ash, marches boldly along the path to, uh...\-the path to... -Where are we going? response:	How many times do I have to tell you? Vermillion City.
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\With two Pokemon badges pinned to his jacket,\our hero, Ash, marches boldly along the path to, uh...\-the path to... -Where are we going?\How many times do I have to tell you? Vermillion City. response:	It's got a luxury cruise ship and I'm dying to see it.
context: J You teach me and I'll teach you Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\With two Pokemon badges pinned to his jacket,\our hero, Ash, marches boldly along the path to, uh...\-the path to... -Where are we going?\How many times do I have to tell you? Vermillion City.\It's got a luxury cruise ship and I'm dying to see it. response:	We won't have time for sightseeing.
