context: Who's there? response:	There's nobody there...
context: Who's there?\There's nobody there... response:	Tsukune, please.
context: Who's there?\There's nobody there...\Tsukune, please. response:	I want to suck your blood.
context: Who's there?\There's nobody there...\Tsukune, please.\I want to suck your blood. response:	No...
context: Who's there?\There's nobody there...\Tsukune, please.\I want to suck your blood.\No... response:	Thanks for the meal, Tsukune's blood is the best after all.
context: Who's there?\There's nobody there...\Tsukune, please.\I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all. response:	It seems like I'm getting addicted to it.
context: Who's there?\There's nobody there...\Tsukune, please.\I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it. response:	I got my blood sucked again...
context: Who's there?\There's nobody there...\Tsukune, please.\I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again... response:	I'll die of anemia if this goes on.
context: There's nobody there...\Tsukune, please.\I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on. response:	To think I can go to club activities today with Moka-san...
context: Tsukune, please.\I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san... response:	Tsukune!
context: I want to suck your blood.\No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune! response:	Club activities start from today onwards, right?
context: No...\Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right? response:	I'm so happy to be in the same club as Tsukune!
context: Thanks for the meal, Tsukune's blood is the best after all.\It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune! response:	Kurumu-chan...
context: It seems like I'm getting addicted to it.\I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan... response:	I'm suffocating...
context: I got my blood sucked again...\I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating... response:	Kurumu-san is so sly!
context: I'll die of anemia if this goes on.\To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly! response:	Tsukune-san and I are in the same club too!
context: To think I can go to club activities today with Moka-san...\Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too! response:	No, you can't.
context: Tsukune!\Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't. response:	I'm suffocating...
context: Club activities start from today onwards, right?\I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating... response:	Tsukune is my Destined One.
context: I'm so happy to be in the same club as Tsukune!\Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating...\Tsukune is my Destined One. response:	I'm going to make use of club activities to deepen our relationship and fall in love together.
context: Kurumu-chan...\I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together. response:	I won't lose to you, Akashiya Moka.
context: I'm suffocating...\Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka. response:	Tsukune-san is...
context: Kurumu-san is so sly!\Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is... response:	Tsukune!
context: Tsukune-san and I are in the same club too!\No, you can't.\I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune! response:	Hang in there, Tsukune!
context: No, you can't.\I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune!\Hang in there, Tsukune! response:	Tsukune-san!
context: I'm suffocating...\Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune!\Hang in there, Tsukune!\Tsukune-san! response:	Did you hear about the serial peeping tom?
context: Tsukune is my Destined One.\I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune!\Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom? response:	Yeah, I heard about it!
context: I'm going to make use of club activities to deepen our relationship and fall in love together.\I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune!\Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it! response:	I'm too scared to even change my clothes!
context: I won't lose to you, Akashiya Moka.\Tsukune-san is...\Tsukune!\Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes! response:	Yeah.
context: Tsukune-san is...\Tsukune!\Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah. response:	When I'm changing, I always ask someone to keep a lookout for me.
context: Tsukune!\Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me. response:	That's a good idea.
context: Hang in there, Tsukune!\Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea. response:	Well then, we shall start the Youkai Academy's Newspaper Club activity now.
context: Tsukune-san!\Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now. response:	Are we the only members?
context: Did you hear about the serial peeping tom?\Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members? response:	My, of course not.
context: Yeah, I heard about it!\I'm too scared to even change my clothes!\Yeah.\When I'm changing, I always ask someone to keep a lookout for me.\That's a good idea.\Well then, we shall start the Youkai Academy's Newspaper Club activity now.\Are we the only members?\My, of course not. response:	Sorry.
