context: This feels great... response:	There's nothing like relaxing in your own home...
context: This feels great...\There's nothing like relaxing in your own home... response:	Nice place you got here.
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here. response:	Isn't it?
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it? response:	Maybe I should live here, too...
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it?\Maybe I should live here, too... response:	Lucy, you don't have any booze? Seriously?
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously? response:	This is my house!
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house! response:	Her name is Cana Alberona.
context: This feels great...\There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona. response:	Among the members of her generation, she's been in Fairy Tail the longest.
context: There's nothing like relaxing in your own home...\Nice place you got here.\Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest. response:	What's wrong? You seem down...
context: Nice place you got here.\Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down... response:	Uh, it's nothing, really...
context: Isn't it?\Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really... response:	Do you usually take baths together?
context: Maybe I should live here, too...\Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together? response:	Do you usually stroll into other people's houses?
context: Lucy, you don't have any booze? Seriously?\This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses? response:	Did you and your dad patch things up after that?
context: This is my house!\Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that? response:	Uh, I'm not really sure...
context: Her name is Cana Alberona.\Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure... response:	I suppose you could say that.
context: Among the members of her generation, she's been in Fairy Tail the longest.\What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that. response:	Well, we haven't exactly kept in touch.
context: What's wrong? You seem down...\Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that.\Well, we haven't exactly kept in touch. response:	What?
context: Uh, it's nothing, really...\Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that.\Well, we haven't exactly kept in touch.\What? response:	If you're worried about something, I'll lend an ear...
context: Do you usually take baths together?\Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that.\Well, we haven't exactly kept in touch.\What?\If you're worried about something, I'll lend an ear... response:	I'm thinking of quitting the guild.
context: Do you usually stroll into other people's houses?\Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that.\Well, we haven't exactly kept in touch.\What?\If you're worried about something, I'll lend an ear...\I'm thinking of quitting the guild. response:	Best Partner.
context: Did you and your dad patch things up after that?\Uh, I'm not really sure...\I suppose you could say that.\Well, we haven't exactly kept in touch.\What?\If you're worried about something, I'll lend an ear...\I'm thinking of quitting the guild.\Best Partner. response:	Cheers!
