context: So that guy, Hazamada, says response:	he doesn't know anything about the electric bastard
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard response:	that killed my big bro?
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro? response:	Yeah. He said he's only ever talked to him on the phone.
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone. response:	And you believed him, Josuke? Did you torture him?
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him? response:	If Hazamada actually knew who that guy was,
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was, response:	he would probably have already come to silence him.
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him. response:	R-Right... Just like my big bro.
context: So that guy, Hazamada, says\he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro. response:	Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.
context: he doesn't know anything about the electric bastard\that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know. response:	But Hazamada did say this...
context: that killed my big bro?\Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this... response:	Stand users, for some reason, seem to be unknowingly drawn to one another,
context: Yeah. He said he's only ever talked to him on the phone.\And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another, response:	even if they don't know each other.
context: And you believed him, Josuke? Did you torture him?\If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other. response:	They say that you're bound to the person that you're going
context: If Hazamada actually knew who that guy was,\he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going response:	to marry by the red string of fate, right?
context: he would probably have already come to silence him.\R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right? response:	It's sort of like that.
context: R-Right... Just like my big bro.\Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that. response:	You just end up eventually meeting them.
context: Yeah. Seeing as how Hazamada is alive, that proves he really doesn't know.\But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them. response:	They might be an enemy, a friend, the guy who steps on your foot on the bus,
context: But Hazamada did say this...\Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus, response:	or someone who just moved in next door.
context: Stand users, for some reason, seem to be unknowingly drawn to one another,\even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door. response:	You just don't know.
context: even if they don't know each other.\They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know. response:	Morioh's not very big...
context: They say that you're bound to the person that you're going\to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know.\Morioh's not very big... response:	I don't know how many Stand users are in this town right now,
context: to marry by the red string of fate, right?\It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now, response:	but no matter how they try to hide, they'll eventually show themselves.
context: It's sort of like that.\You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves. response:	He knows that's going to happen eventually.
context: You just end up eventually meeting them.\They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually. response:	He wants you to disappear.
context: They might be an enemy, a friend, the guy who steps on your foot on the bus,\or someone who just moved in next door.\You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear. response:	Damn it.
context: or someone who just moved in next door.\You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear.\Damn it. response:	What a coward.
context: You just don't know.\Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear.\Damn it.\What a coward. response:	He needs to attack us already!
context: Morioh's not very big...\I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear.\Damn it.\What a coward.\He needs to attack us already! response:	But that also means that he's cautious.
context: I don't know how many Stand users are in this town right now,\but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear.\Damn it.\What a coward.\He needs to attack us already!\But that also means that he's cautious. response:	When guys like that attack,
context: but no matter how they try to hide, they'll eventually show themselves.\He knows that's going to happen eventually.\He wants you to disappear.\Damn it.\What a coward.\He needs to attack us already!\But that also means that he's cautious.\When guys like that attack, response:	it's probably only when they're certain they're going to win.
context: He knows that's going to happen eventually.\He wants you to disappear.\Damn it.\What a coward.\He needs to attack us already!\But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win. response:	Oh?
context: He wants you to disappear.\Damn it.\What a coward.\He needs to attack us already!\But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win.\Oh? response:	Hey, that's Koichi.
context: Damn it.\What a coward.\He needs to attack us already!\But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi. response:	Why's he trying to act all cool, drinking tea?
context: What a coward.\He needs to attack us already!\But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea? response:	Hey, Ko
context: He needs to attack us already!\But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko response:	What?!
context: But that also means that he's cautious.\When guys like that attack,\it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko\What?! response:	JoJo's Bizarre Adventure
context: When guys like that attack,\it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko\What?!\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: it's probably only when they're certain they're going to win.\Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko\What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 8 Yukako Yamagishi Falls in Love, Part 1
context: Oh?\Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko\What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1 response:	Koichi, was me asking you to come here, um...
context: Hey, that's Koichi.\Why's he trying to act all cool, drinking tea?\Hey, Ko\What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um... response:	a bother?
context: Why's he trying to act all cool, drinking tea?\Hey, Ko\What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother? response:	Huh? No, it's not a bother...
context: Hey, Ko\What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother... response:	But I was wondering what you needed.
context: What?!\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother...\But I was wondering what you needed. response:	Wow, so Koichi's with a girl...
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl... response:	That chick's in my class! Her name is Yukako Yamagishi.
context: Diamond is Unbreakable\Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi. response:	All right! Let's get a bit closer!
context: Episode 8 Yukako Yamagishi Falls in Love, Part 1\Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer! response:	If you wanted to see my notes on some homework,
context: Koichi, was me asking you to come here, um...\a bother?\Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework, response:	my grades aren't that good, and my handwriting's messy.
context: a bother?\Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy. response:	If it's money, I can probably manage about 1,000 yen...
context: Huh? No, it's not a bother...\But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen... response:	Or did you want me to switch weekly duties with you?
context: But I was wondering what you needed.\Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you? response:	That's not what this is about.
context: Wow, so Koichi's with a girl...\That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about. response:	Huh? It's not? Then what is it?
context: That chick's in my class! Her name is Yukako Yamagishi.\All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it? response:	If you need someone to take in a kitten or a puppy,
context: All right! Let's get a bit closer!\If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy, response:	we've already got a dumb dog named Police at home.
context: If you wanted to see my notes on some homework,\my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home. response:	Koichi!
context: my grades aren't that good, and my handwriting's messy.\If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi! response:	I'm just going to come out and say it.
context: If it's money, I can probably manage about 1,000 yen...\Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it. response:	Koichi...
context: Or did you want me to switch weekly duties with you?\That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it.\Koichi... response:	I'm in love with you, Koichi.
context: That's not what this is about.\Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi. response:	Huh?
context: Huh? It's not? Then what is it?\If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi.\Huh? response:	What?!
context: If you need someone to take in a kitten or a puppy,\we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi.\Huh?\What?! response:	U-Um... Uh, um... Wh-What?!
context: we've already got a dumb dog named Police at home.\Koichi!\I'm just going to come out and say it.\Koichi...\I'm in love with you, Koichi.\Huh?\What?!\U-Um... Uh, um... Wh-What?! response:	You're the only thing I think about all day, Koichi.
