context: Signs response:	Opening 1st Frame
context: Signs\Opening 1st Frame response:	Ending
context: Signs\Opening 1st Frame\Ending response:	We've got no choice.
context: Signs\Opening 1st Frame\Ending\We've got no choice. response:	It's a cruel world out there.
context: Signs\Opening 1st Frame\Ending\We've got no choice.\It's a cruel world out there. response:	I'll defeat her...
context: Signs\Opening 1st Frame\Ending\We've got no choice.\It's a cruel world out there.\I'll defeat her... response:	No...
context: Signs\Opening 1st Frame\Ending\We've got no choice.\It's a cruel world out there.\I'll defeat her...\No... response:	I'll kill her!
context: Signs\Opening 1st Frame\Ending\We've got no choice.\It's a cruel world out there.\I'll defeat her...\No...\I'll kill her! response:	That day, mankind received a grim reminder.
context: Opening 1st Frame\Ending\We've got no choice.\It's a cruel world out there.\I'll defeat her...\No...\I'll kill her!\That day, mankind received a grim reminder. response:	We lived in fear of the Titans,
context: Ending\We've got no choice.\It's a cruel world out there.\I'll defeat her...\No...\I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans, response:	disgraced to cower within the cages we called Walls.
context: We've got no choice.\It's a cruel world out there.\I'll defeat her...\No...\I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans,\disgraced to cower within the cages we called Walls. response:	Eren!
context: It's a cruel world out there.\I'll defeat her...\No...\I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans,\disgraced to cower within the cages we called Walls.\Eren! response:	Eren?
context: I'll defeat her...\No...\I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans,\disgraced to cower within the cages we called Walls.\Eren!\Eren? response:	Let us pray for our three goddesses: Maria, Rose, and Sina.
context: No...\I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans,\disgraced to cower within the cages we called Walls.\Eren!\Eren?\Let us pray for our three goddesses: Maria, Rose, and Sina. response:	For their continued well-being...
context: I'll kill her!\That day, mankind received a grim reminder.\We lived in fear of the Titans,\disgraced to cower within the cages we called Walls.\Eren!\Eren?\Let us pray for our three goddesses: Maria, Rose, and Sina.\For their continued well-being... response:	And for our peace and safety...
