context: That night Nana took Misato by the hand response:	and left the flat without saying a word.
context: That night Nana took Misato by the hand\and left the flat without saying a word. response:	She didn't return until morning.
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning. response:	When I was darkness at that time
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time response:	With trembling lips
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: That night Nana took Misato by the hand\and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: and left the flat without saying a word.\She didn't return until morning.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: She didn't return until morning.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
