context: Good evening, mister. response:	This is the second time we've met like this.
context: Good evening, mister.\This is the second time we've met like this. response:	It's nice to meet you, Rin.
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin. response:	I'm Illya.
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya. response:	Illyasviel von Einzbern.
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern. response:	You know the name Einzbern, don't you?
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you? response:	Einzbern...
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern... response:	I'm astonished.
context: Good evening, mister.\This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern...\I'm astonished. response:	In terms of raw ability, that thing outclasses Saber.
context: This is the second time we've met like this.\It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber. response:	It's incredible...
context: It's nice to meet you, Rin.\I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible... response:	That Servant could face the other six alone.
context: I'm Illya.\Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone. response:	Meaning this isn't an opponent we can beat with brute force, huh?
context: Illyasviel von Einzbern.\You know the name Einzbern, don't you?\Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh? response:	Archer, you should use your class's usual methods.
context: You know the name Einzbern, don't you?\Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods. response:	What about defense?
context: Einzbern...\I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense? response:	If it charges, I doubt you can stop it.
context: I'm astonished.\In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it. response:	There are three of us.
context: In terms of raw ability, that thing outclasses Saber.\It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it.\There are three of us. response:	At the very least, we'll be able to hold it off.
context: It's incredible...\That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off. response:	Understood.
context: That Servant could face the other six alone.\Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off.\Understood. response:	Emiya-kun...
context: Meaning this isn't an opponent we can beat with brute force, huh?\Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off.\Understood.\Emiya-kun... response:	It's your decision whether to run, or stay and fight.
context: Archer, you should use your class's usual methods.\What about defense?\If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off.\Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight. response:	But if you can,
context: What about defense?\If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off.\Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can, response:	try to run.
context: If it charges, I doubt you can stop it.\There are three of us.\At the very least, we'll be able to hold it off.\Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can,\try to run. response:	Are you done talking?
context: There are three of us.\At the very least, we'll be able to hold it off.\Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can,\try to run.\Are you done talking? response:	Can I get started?
context: At the very least, we'll be able to hold it off.\Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can,\try to run.\Are you done talking?\Can I get started? response:	Okay, I'll kill you now.
context: Understood.\Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can,\try to run.\Are you done talking?\Can I get started?\Okay, I'll kill you now. response:	Get them, Berserker.
context: Emiya-kun...\It's your decision whether to run, or stay and fight.\But if you can,\try to run.\Are you done talking?\Can I get started?\Okay, I'll kill you now.\Get them, Berserker. response:	Shirou, stand back!
context: It's your decision whether to run, or stay and fight.\But if you can,\try to run.\Are you done talking?\Can I get started?\Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back! response:	No way! They have no effect?
context: But if you can,\try to run.\Are you done talking?\Can I get started?\Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back!\No way! They have no effect? response:	Emiya-kun!
context: try to run.\Are you done talking?\Can I get started?\Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back!\No way! They have no effect?\Emiya-kun! response:	Can that mass of muscle see her invisible sword?
context: Are you done talking?\Can I get started?\Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back!\No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword? response:	He's powerful.
context: Can I get started?\Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back!\No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful. response:	Got him!
context: Okay, I'll kill you now.\Get them, Berserker.\Shirou, stand back!\No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful.\Got him! response:	He's too agile!
context: Get them, Berserker.\Shirou, stand back!\No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful.\Got him!\He's too agile! response:	How does that thing qualify as a Berserker?
context: Shirou, stand back!\No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful.\Got him!\He's too agile!\How does that thing qualify as a Berserker? response:	It must be a Heroic Spirit of some renown.
context: No way! They have no effect?\Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful.\Got him!\He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown. response:	Even in the grip of madness, his sword skills are unblunted.
context: Emiya-kun!\Can that mass of muscle see her invisible sword?\He's powerful.\Got him!\He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted. response:	I cannot help but be impressed.
context: Can that mass of muscle see her invisible sword?\He's powerful.\Got him!\He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed. response:	Archer, fire support.
context: He's powerful.\Got him!\He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support. response:	He's less a mad warrior, and more an embodiment of savagery.
context: Got him!\He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery. response:	He may be mad, but his ingrained sword techniques haven't left him.
context: He's too agile!\How does that thing qualify as a Berserker?\It must be a Heroic Spirit of some renown.\Even in the grip of madness, his sword skills are unblunted.\I cannot help but be impressed.\Archer, fire support.\He's less a mad warrior, and more an embodiment of savagery.\He may be mad, but his ingrained sword techniques haven't left him. response:	Time to finish this.
