context: This is all there is of Eleven? response:	There'd be no point in having lots of ordinary people join battle.
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle. response:	Besides, it's not as if we asked to join Eleven.
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven. response:	It was probably God's will or something like that
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that response:	that gave us superhuman powers.
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers. response:	To fight against Machines,
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines, response:	and survive.
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines,\and survive. response:	Hey, traitor! Give me a shot!
context: This is all there is of Eleven?\There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines,\and survive.\Hey, traitor! Give me a shot! response:	Shut up!
context: There'd be no point in having lots of ordinary people join battle.\Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines,\and survive.\Hey, traitor! Give me a shot!\Shut up! response:	Idiot.
context: Besides, it's not as if we asked to join Eleven.\It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines,\and survive.\Hey, traitor! Give me a shot!\Shut up!\Idiot. response:	It's not that complicated.
context: It was probably God's will or something like that\that gave us superhuman powers.\To fight against Machines,\and survive.\Hey, traitor! Give me a shot!\Shut up!\Idiot.\It's not that complicated. response:	Kill them before they kill you.
context: that gave us superhuman powers.\To fight against Machines,\and survive.\Hey, traitor! Give me a shot!\Shut up!\Idiot.\It's not that complicated.\Kill them before they kill you. response:	Some wastes you can't even throw out.
context: To fight against Machines,\and survive.\Hey, traitor! Give me a shot!\Shut up!\Idiot.\It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out. response:	This is all your fault, Karen.
context: and survive.\Hey, traitor! Give me a shot!\Shut up!\Idiot.\It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen. response:	Me? Why?
context: Hey, traitor! Give me a shot!\Shut up!\Idiot.\It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why? response:	You destroy the machines so excessively, and then sell them to me.
context: Shut up!\Idiot.\It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me. response:	That probably pissed them off.
context: Idiot.\It's not that complicated.\Kill them before they kill you.\Some wastes you can't even throw out.\This is all your fault, Karen.\Me? Why?\You destroy the machines so excessively, and then sell them to me.\That probably pissed them off. response:	I'm out of this, you tomboy!
