context: I find it hard to say this, but... response:	If you come back and say, It's impossible, after all, it would be oh so nice...
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice... response:	Marulk...
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk... response:	I've seen off all kinds of people who leave on journeys they won't return from...
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from... response:	But... today is the saddest I've ever felt.
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt. response:	The Inverted Forest... It's so far above us...
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us... response:	Reg...
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg... response:	Are you ready?
context: I find it hard to say this, but...\If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg...\Are you ready? response:	Of course.
context: If you come back and say, It's impossible, after all, it would be oh so nice...\Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg...\Are you ready?\Of course. response:	Is this the shaft Ozen was talking about?
context: Marulk...\I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg...\Are you ready?\Of course.\Is this the shaft Ozen was talking about? response:	Yep...
context: I've seen off all kinds of people who leave on journeys they won't return from...\But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg...\Are you ready?\Of course.\Is this the shaft Ozen was talking about?\Yep... response:	In this world, there is nothing as impartial as death.
context: But... today is the saddest I've ever felt.\The Inverted Forest... It's so far above us...\Reg...\Are you ready?\Of course.\Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death. response:	For all living creatures, death is sure to eventually come knocking.
context: The Inverted Forest... It's so far above us...\Reg...\Are you ready?\Of course.\Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking. response:	Death is an equalizer - it is an absolute truth...
context: Reg...\Are you ready?\Of course.\Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth... response:	and it is always lingering right beside us.
context: Are you ready?\Of course.\Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us. response:	Nevertheless, people make the best use of their wits and courage...
context: Of course.\Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage... response:	Struggling... floundering...
context: Is this the shaft Ozen was talking about?\Yep...\In this world, there is nothing as impartial as death.\For all living creatures, death is sure to eventually come knocking.\Death is an equalizer - it is an absolute truth...\and it is always lingering right beside us.\Nevertheless, people make the best use of their wits and courage...\Struggling... floundering... response:	they cling to life until the very end.
