context: Sir Villar. response:	Duke Theo Cornaro...
context: Sir Villar.\Duke Theo Cornaro... response:	Once again the time has come for me to offer you my Crest.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest. response:	If there are no objections.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections. response:	There is no one who would object to that.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that. response:	Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty. response:	I, too, intend to pledge allegiance to you.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you. response:	Sir Theo, I'd like to serve you, as well.
context: Sir Villar.\Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well. response:	However, I intend to forsake the Constance name
context: Duke Theo Cornaro...\Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name response:	and take my mother's family name, Stelea instead.
context: Once again the time has come for me to offer you my Crest.\If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead. response:	Please wait!
context: If there are no objections.\There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait! response:	I'm nowhere near the caliber of my brother Villar.
context: There is no one who would object to that.\Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar. response:	Even on that day that we lost this castle to Milza,
context: Earl of Sistina, it is clear to us all by now that you're the right man to lead the Altirk Treaty.\I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza, response:	far from being an asset to him, I was only a liability.
context: I, too, intend to pledge allegiance to you.\Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability. response:	Still...
context: Sir Theo, I'd like to serve you, as well.\However, I intend to forsake the Constance name\and take my mother's family name, Stelea instead.\Please wait!\I'm nowhere near the caliber of my brother Villar.\Even on that day that we lost this castle to Milza,\far from being an asset to him, I was only a liability.\Still... response:	You're the one who should succeed the Constance family.
