context: Totsuhara University Hospital response:	As I explained just now,
context: Totsuhara University Hospital\As I explained just now, response:	it would be extremely dangerous.
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous. response:	Not only that, but...
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous.\Not only that, but... response:	Even if all went well...
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous.\Not only that, but...\Even if all went well... response:	Yes, I understand... At least I think I do.
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous.\Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do. response:	I've talked about it with both my mother and father.
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous.\Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father. response:	I'm up for this. I want to have it.
context: Totsuhara University Hospital\As I explained just now,\it would be extremely dangerous.\Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it. response:	The surgery.
context: As I explained just now,\it would be extremely dangerous.\Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery. response:	Music Preperation Room
context: it would be extremely dangerous.\Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery.\Music Preperation Room response:	Kaori Miyazono
context: Not only that, but...\Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery.\Music Preperation Room\Kaori Miyazono response:	Hey, you're off.
context: Even if all went well...\Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery.\Music Preperation Room\Kaori Miyazono\Hey, you're off. response:	Come on, that's normal in the beginning.
context: Yes, I understand... At least I think I do.\I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery.\Music Preperation Room\Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning. response:	You don't feel threatened! You're slacking off!
context: I've talked about it with both my mother and father.\I'm up for this. I want to have it.\The surgery.\Music Preperation Room\Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off! response:	You've got the etude, too, you know! You have your back against the wall!
context: I'm up for this. I want to have it.\The surgery.\Music Preperation Room\Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall! response:	Don't you get that?
context: The surgery.\Music Preperation Room\Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that? response:	Sure I get it! Don't talk about it, you'll make me panic!
context: Music Preperation Room\Kaori Miyazono\Hey, you're off.\Come on, that's normal in the beginning.\You don't feel threatened! You're slacking off!\You've got the etude, too, you know! You have your back against the wall!\Don't you get that?\Sure I get it! Don't talk about it, you'll make me panic! response:	You were short on prep time from the start,
