context: I have a condition. response:	Tell me all about Nana-san.
context: I have a condition.\Tell me all about Nana-san. response:	I want to hear about your feelings for her, and once I sort out me feelings about them...
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them... response:	Can you?
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you? response:	I met her in my second year of middle school...
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school... response:	So, what more can you determine from that?
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school...\So, what more can you determine from that? response:	Even with the condition of him telling you about Nana-san...
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san... response:	Why don't you try becoming a little more honest with your feelings?
context: I have a condition.\Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings? response:	Old Messages
context: Tell me all about Nana-san.\I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages response:	Options
context: I want to hear about your feelings for her, and once I sort out me feelings about them...\Can you?\I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages\Options response:	Sub-Menu
context: Can you?\I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages\Options\Sub-Menu response:	Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.
context: I met her in my second year of middle school...\So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages\Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again. response:	Usotsuki na anata nakimushi no atashi
context: So, what more can you determine from that?\Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages\Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Even with the condition of him telling you about Nana-san...\Why don't you try becoming a little more honest with your feelings?\Old Messages\Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Why don't you try becoming a little more honest with your feelings?\Old Messages\Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Old Messages\Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Options\Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Sub-Menu\Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Takahashi, next time I'll properly talk about Nana-san, So, please meet with me again.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
