context: Talk about a lack of personality... response:	How old are you?
context: Talk about a lack of personality...\How old are you? response:	Nineteen.
context: Talk about a lack of personality...\How old are you?\Nineteen. response:	I currently attend the same university that you and Kuro-san attended.
context: Talk about a lack of personality...\How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended. response:	I met you once at the university hospital.
context: Talk about a lack of personality...\How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital. response:	At the hospital?
context: Talk about a lack of personality...\How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital? response:	I guess I can't blame you for not remembering.
context: Talk about a lack of personality...\How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering. response:	It was more than four years ago.
context: Talk about a lack of personality...\How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago. response:	What you said earlier was a lie, wasn't it?
context: How old are you?\Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it? response:	That you're Kuro-kun's girlfriend.
context: Nineteen.\I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend. response:	I mean, you're not Kuro-kun's type.
context: I currently attend the same university that you and Kuro-san attended.\I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type. response:	Since he was dumped so cruelly by someone who was his type,
context: I met you once at the university hospital.\At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type, response:	I think it's quite possible for him to seek the complete opposite.
context: At the hospital?\I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite. response:	Ow!
context: I guess I can't blame you for not remembering.\It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow! response:	Ow, ow, ow, ow...
context: It was more than four years ago.\What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow... response:	I heard that Kuro-kun's cousin who was in the hospital passed away,
context: What you said earlier was a lie, wasn't it?\That you're Kuro-kun's girlfriend.\I mean, you're not Kuro-kun's type.\Since he was dumped so cruelly by someone who was his type,\I think it's quite possible for him to seek the complete opposite.\Ow!\Ow, ow, ow, ow...\I heard that Kuro-kun's cousin who was in the hospital passed away, response:	so maybe he talked to her in desperation and now he just can't get rid of her...
