context: I got it. response:	Have you been possessed?
context: I got it.\Have you been possessed? response:	I am going to go to choose someone from Qing Qiu
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu response:	to be Ye Hua's disciple in the kitchen.
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen. response:	This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat. response:	All right, I'll go post up notices.
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices. response:	I've already arranged for a servant girl to transform into a Taoist nun
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun response:	to look after Yuan Zhen in the Mortal Realm.
context: I got it.\Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm. response:	Why must you still insist on going to Qing Qiu to see Bai Qian?
context: Have you been possessed?\I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian? response:	You don't understand, My Lord.
context: I am going to go to choose someone from Qing Qiu\to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord. response:	A mother absolutely will not allow her child
context: to be Ye Hua's disciple in the kitchen.\This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child response:	to be subjected to any suffering or grievances.
context: This way, even if Ye Hua leaves Qing Qiu, we'll still have food to eat.\All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances. response:	I must see Aunt
context: All right, I'll go post up notices.\I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt response:	and ask her to face the trial in place of Yuan Zhen.
context: I've already arranged for a servant girl to transform into a Taoist nun\to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen. response:	He caused this disaster, so he needs to go through this trial.
context: to look after Yuan Zhen in the Mortal Realm.\Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial. response:	Never mind Bai Qian of Qing Qiu
context: Why must you still insist on going to Qing Qiu to see Bai Qian?\You don't understand, My Lord.\A mother absolutely will not allow her child\to be subjected to any suffering or grievances.\I must see Aunt\and ask her to face the trial in place of Yuan Zhen.\He caused this disaster, so he needs to go through this trial.\Never mind Bai Qian of Qing Qiu response:	even if were High God Zhe Yan, I'm afraid he would not be able to help either.
