context: Shu! response:	What the...
context: Shu!\What the... response:	Gai?!
context: Shu!\What the...\Gai?! response:	It's him!
context: Shu!\What the...\Gai?!\It's him! response:	T-To all units!
context: Shu!\What the...\Gai?!\It's him!\T-To all units! response:	Defend Tsutsugami Gai!
context: Shu!\What the...\Gai?!\It's him!\T-To all units!\Defend Tsutsugami Gai! response:	Huh?! What are you talking about?
context: Shu!\What the...\Gai?!\It's him!\T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about? response:	I don't know what's going on, but this is an order!
context: Shu!\What the...\Gai?!\It's him!\T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order! response:	Please obey, Lieutenant Daryl!
context: What the...\Gai?!\It's him!\T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl! response:	No way! He's the enemy!
context: Gai?!\It's him!\T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy! response:	Huh?!
context: It's him!\T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?! response:	Prometheus One to Delphi. Target located!
context: T-To all units!\Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located! response:	This is Delphi. You are authorized to use RM warheads.
context: Defend Tsutsugami Gai!\Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads. response:	Annihilate them. I repeat: annihilate them!
context: Huh?! What are you talking about?\I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them! response:	This is bad!
context: I don't know what's going on, but this is an order!\Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad! response:	Do something about it!
context: Please obey, Lieutenant Daryl!\No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it! response:	You can do something, can't you?!
context: No way! He's the enemy!\Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it!\You can do something, can't you?! response:	No!
context: Huh?!\Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it!\You can do something, can't you?!\No! response:	Go.
context: Prometheus One to Delphi. Target located!\This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it!\You can do something, can't you?!\No!\Go. response:	What?!
context: This is Delphi. You are authorized to use RM warheads.\Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it!\You can do something, can't you?!\No!\Go.\What?! response:	What happened?!
context: Annihilate them. I repeat: annihilate them!\This is bad!\Do something about it!\You can do something, can't you?!\No!\Go.\What?!\What happened?! response:	Gai...
context: This is bad!\Do something about it!\You can do something, can't you?!\No!\Go.\What?!\What happened?!\Gai... response:	The reality of the destruction around us fills our mind
context: Do something about it!\You can do something, can't you?!\No!\Go.\What?!\What happened?!\Gai...\The reality of the destruction around us fills our mind response:	The raging rain sounds like a storm of tears
context: You can do something, can't you?!\No!\Go.\What?!\What happened?!\Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears response:	that your eyes were given to you to acknowledge others,
context: No!\Go.\What?!\What happened?!\Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Go.\What?!\What happened?!\Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: What?!\What happened?!\Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: What happened?!\Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Gai...\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
