context: Surrounded by Zentradi forces, response:	the Macross launches a desperate Daedalus Attack on Britai's ship
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship response:	which allows an invasion force to stream in from the bow,
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow, response:	turning the city within the ship's interior into a battlefield.
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield. response:	DROP OUT
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT response:	Minmay!
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay! response:	Come on, men! Crush them with one blow!
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay!\Come on, men! Crush them with one blow! response:	This time, it's anything goes!
context: Surrounded by Zentradi forces,\the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes! response:	What are you men doing?
context: the Macross launches a desperate Daedalus Attack on Britai's ship\which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing? response:	Minmay's in here!
context: which allows an invasion force to stream in from the bow,\turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing?\Minmay's in here! response:	Minmay? What's that?
context: turning the city within the ship's interior into a battlefield.\DROP OUT\Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing?\Minmay's in here!\Minmay? What's that? response:	He said Minmay's here.
context: DROP OUT\Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing?\Minmay's in here!\Minmay? What's that?\He said Minmay's here. response:	Those three were telling the truth!
context: Minmay!\Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing?\Minmay's in here!\Minmay? What's that?\He said Minmay's here.\Those three were telling the truth! response:	I wanna meet Minmay!
context: Come on, men! Crush them with one blow!\This time, it's anything goes!\What are you men doing?\Minmay's in here!\Minmay? What's that?\He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay! response:	Silence!
context: This time, it's anything goes!\What are you men doing?\Minmay's in here!\Minmay? What's that?\He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay!\Silence! response:	What are you planning to do?
context: What are you men doing?\Minmay's in here!\Minmay? What's that?\He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay!\Silence!\What are you planning to do? response:	Well, we can't damage this place any longer, so...
context: Minmay's in here!\Minmay? What's that?\He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay!\Silence!\What are you planning to do?\Well, we can't damage this place any longer, so... response:	What, you men too?!
context: Minmay? What's that?\He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay!\Silence!\What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?! response:	What's wrong with you all?
context: He said Minmay's here.\Those three were telling the truth!\I wanna meet Minmay!\Silence!\What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all? response:	Hey! Why are you running away?!
context: Those three were telling the truth!\I wanna meet Minmay!\Silence!\What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all?\Hey! Why are you running away?! response:	Please forgive us, sir!
context: I wanna meet Minmay!\Silence!\What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir! response:	You just don't understand how wonderful this place is!
context: Silence!\What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is! response:	Shut up!
context: What are you planning to do?\Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up! response:	I don't care what your reasons are, desertion is unacceptable!
context: Well, we can't damage this place any longer, so...\What, you men too?!\What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable! response:	I'll do to you what I did to that other guy!
context: What, you men too?!\What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy! response:	Is that what you want?
context: What's wrong with you all?\Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want? response:	Fine! You're no longer part of my Clan!
context: Hey! Why are you running away?!\Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan! response:	I'll execute you all!
context: Please forgive us, sir!\You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all! response:	Captain, this is strange! The intruders' ranks are in disarray!
context: You just don't understand how wonderful this place is!\Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray! response:	What?
context: Shut up!\I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What? response:	This is our chance. Send in our reserve air-defense Valkyrie teams!
context: I don't care what your reasons are, desertion is unacceptable!\I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams! response:	Drive them out!
context: I'll do to you what I did to that other guy!\Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out! response:	Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!
context: Is that what you want?\Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow! response:	Engage the enemy!
context: Fine! You're no longer part of my Clan!\I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy! response:	This isn't a movie, is it?
context: I'll execute you all!\Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it? response:	Skull Leader, come in! Lieutenant Ichijo!
context: Captain, this is strange! The intruders' ranks are in disarray!\What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo! response:	Oh, Captain Hayase.
context: What?\This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase. response:	Oh, Captain Hayase?! What's wrong with you?
context: This is our chance. Send in our reserve air-defense Valkyrie teams!\Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you? response:	Please send a rescue party to the open-air theater.
context: Drive them out!\Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater. response:	The open-air theater?
context: Yes, sir! Brown, Green, and Indigo Squadrons, head for the ship's bow!\Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater? response:	Is Kaifun all right?
context: Engage the enemy!\This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right? response:	Tell me, who's hurt?!
context: This isn't a movie, is it?\Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?! response:	Lieutenant Ichijo! Lieutenant Ichijo!
context: Skull Leader, come in! Lieutenant Ichijo!\Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo! response:	Kaifun, you idiot!
context: Oh, Captain Hayase.\Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot! response:	Minmay...
context: Oh, Captain Hayase?! What's wrong with you?\Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay... response:	Damn it!
context: Please send a rescue party to the open-air theater.\The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay...\Damn it! response:	Goddammit!
context: The open-air theater?\Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay...\Damn it!\Goddammit! response:	A Minmay doll.
context: Is Kaifun all right?\Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay...\Damn it!\Goddammit!\A Minmay doll. response:	So that's what it's like!
context: Tell me, who's hurt?!\Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay...\Damn it!\Goddammit!\A Minmay doll.\So that's what it's like! response:	Lemme see!
context: Lieutenant Ichijo! Lieutenant Ichijo!\Kaifun, you idiot!\Minmay...\Damn it!\Goddammit!\A Minmay doll.\So that's what it's like!\Lemme see! response:	Me too!
context: Kaifun, you idiot!\Minmay...\Damn it!\Goddammit!\A Minmay doll.\So that's what it's like!\Lemme see!\Me too! response:	And me!
context: Minmay...\Damn it!\Goddammit!\A Minmay doll.\So that's what it's like!\Lemme see!\Me too!\And me! response:	It's... It's ruined.
context: Damn it!\Goddammit!\A Minmay doll.\So that's what it's like!\Lemme see!\Me too!\And me!\It's... It's ruined. response:	We... all of us... did this, to the doll and to this city.
context: Goddammit!\A Minmay doll.\So that's what it's like!\Lemme see!\Me too!\And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city. response:	Desertion in the face of the enemy?!
context: A Minmay doll.\So that's what it's like!\Lemme see!\Me too!\And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?! response:	I don't believe it!
context: So that's what it's like!\Lemme see!\Me too!\And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it! response:	This must be the enemy's true power.
context: Lemme see!\Me too!\And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power. response:	As I thought, the legends...
context: Me too!\And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power.\As I thought, the legends... response:	You're saying we should have heeded them?
context: And me!\It's... It's ruined.\We... all of us... did this, to the doll and to this city.\Desertion in the face of the enemy?!\I don't believe it!\This must be the enemy's true power.\As I thought, the legends...\You're saying we should have heeded them? response:	Indeed.
