context: Bell-kun, response:	has something good happened to you?
context: Bell-kun,\has something good happened to you? response:	You could tell?
context: Bell-kun,\has something good happened to you?\You could tell? response:	I think anyone could, just from your expression.
context: Bell-kun,\has something good happened to you?\You could tell?\I think anyone could, just from your expression. response:	What happened?
context: Bell-kun,\has something good happened to you?\You could tell?\I think anyone could, just from your expression.\What happened? response:	Well, when my status updated...
context: Bell-kun,\has something good happened to you?\You could tell?\I think anyone could, just from your expression.\What happened?\Well, when my status updated... response:	I said, I'm looking for a party to join!
context: Bell-kun,\has something good happened to you?\You could tell?\I think anyone could, just from your expression.\What happened?\Well, when my status updated...\I said, I'm looking for a party to join! response:	You've got to know of a few that are recruiting, right?
context: Bell-kun,\has something good happened to you?\You could tell?\I think anyone could, just from your expression.\What happened?\Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right? response:	I don't
context: has something good happened to you?\You could tell?\I think anyone could, just from your expression.\What happened?\Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't response:	Level 2 in a month and a half?!
context: You could tell?\I think anyone could, just from your expression.\What happened?\Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: I think anyone could, just from your expression.\What happened?\Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Welf Crozzo Blacksmith
context: What happened?\Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith response:	Level 2, huh?
context: Well, when my status updated...\I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh? response:	I really beat a minotaur!
context: I said, I'm looking for a party to join!\You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur! response:	It's over, Bell-kun.
context: You've got to know of a few that are recruiting, right?\I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun. response:	Did I just go up a rank now?
context: I don't\Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now? response:	Nothing feels different...
context: Level 2 in a month and a half?!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different... response:	Th-This power! It's overwhelming!
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming! response:	Is that what you were expecting?
context: Welf Crozzo Blacksmith\Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting? response:	Yeah. A little.
context: Level 2, huh?\I really beat a minotaur!\It's over, Bell-kun.\Did I just go up a rank now?\Nothing feels different...\Th-This power! It's overwhelming!\Is that what you were expecting?\Yeah. A little. response:	Well, you'll feel it soon enough.
