context: Now, I'm on my way to visit a friend of my childhood response:	No., Aoyama-Takeru
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru response:	Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other response:	Do you have become too long?
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long? response:	Do you become interested in your study?
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study? response:	Aoyama h h Takeru
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Now, I'm on my way to visit a friend of my childhood\No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: No., Aoyama-Takeru\Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Therefore, for a full three years, we are not able to.althdt on the phone, so we meet each other\Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Do you have become too long?\Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Do you become interested in your study?\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
context: Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru\Aoyama h h Takeru response:	Aoyama h h Takeru
