context: TS response:	OP
context: TS\OP response:	Everything has finally calmed down.
context: TS\OP\Everything has finally calmed down. response:	What's going on?
context: TS\OP\Everything has finally calmed down.\What's going on? response:	Is he out of his mind?!
context: TS\OP\Everything has finally calmed down.\What's going on?\Is he out of his mind?! response:	Chasing terrorists isn't our job.
context: TS\OP\Everything has finally calmed down.\What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job. response:	Destroy the Secrets before a fusion explosion.
context: TS\OP\Everything has finally calmed down.\What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion. response:	That's the mission of IFO teams.
context: TS\OP\Everything has finally calmed down.\What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams. response:	We don't have any spare time to take on extra tasks.
context: OP\Everything has finally calmed down.\What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams.\We don't have any spare time to take on extra tasks. response:	That much should be enough for him, don't you think?
context: Everything has finally calmed down.\What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams.\We don't have any spare time to take on extra tasks.\That much should be enough for him, don't you think? response:	What is his punishment?
context: What's going on?\Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams.\We don't have any spare time to take on extra tasks.\That much should be enough for him, don't you think?\What is his punishment? response:	This is unprecedented, but we're considering something serious.
context: Is he out of his mind?!\Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams.\We don't have any spare time to take on extra tasks.\That much should be enough for him, don't you think?\What is his punishment?\This is unprecedented, but we're considering something serious. response:	How about a verbal warning?
context: Chasing terrorists isn't our job.\Destroy the Secrets before a fusion explosion.\That's the mission of IFO teams.\We don't have any spare time to take on extra tasks.\That much should be enough for him, don't you think?\What is his punishment?\This is unprecedented, but we're considering something serious.\How about a verbal warning? response:	That's not even a punishment!
