context: Komachi... response:	What?
context: Komachi...\What? response:	Uh...
context: Komachi...\What?\Uh... response:	Want some coffee?
context: Komachi...\What?\Uh...\Want some coffee? response:	Yes.
context: Komachi...\What?\Uh...\Want some coffee?\Yes. response:	Okay.
context: Komachi...\What?\Uh...\Want some coffee?\Yes.\Okay. response:	Here.
context: Komachi...\What?\Uh...\Want some coffee?\Yes.\Okay.\Here. response:	Hey, Komachi...
context: Komachi...\What?\Uh...\Want some coffee?\Yes.\Okay.\Here.\Hey, Komachi... response:	Can I talk to you?
context: What?\Uh...\Want some coffee?\Yes.\Okay.\Here.\Hey, Komachi...\Can I talk to you? response:	Sure, I'll listen.
context: Uh...\Want some coffee?\Yes.\Okay.\Here.\Hey, Komachi...\Can I talk to you?\Sure, I'll listen. response:	But first...
context: Want some coffee?\Yes.\Okay.\Here.\Hey, Komachi...\Can I talk to you?\Sure, I'll listen.\But first... response:	Don't you have something to say?
context: Yes.\Okay.\Here.\Hey, Komachi...\Can I talk to you?\Sure, I'll listen.\But first...\Don't you have something to say? response:	The other day, well...
context: Okay.\Here.\Hey, Komachi...\Can I talk to you?\Sure, I'll listen.\But first...\Don't you have something to say?\The other day, well... response:	I shouldn't have said it that way.
context: Here.\Hey, Komachi...\Can I talk to you?\Sure, I'll listen.\But first...\Don't you have something to say?\The other day, well...\I shouldn't have said it that way. response:	It wasn't just the way you said it.
context: Hey, Komachi...\Can I talk to you?\Sure, I'll listen.\But first...\Don't you have something to say?\The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it. response:	Your attitude was lousy, too. And your personality.
context: Can I talk to you?\Sure, I'll listen.\But first...\Don't you have something to say?\The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality. response:	Also, your eyes.
context: Sure, I'll listen.\But first...\Don't you have something to say?\The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes. response:	Right...
context: But first...\Don't you have something to say?\The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes.\Right... response:	I bet it's your fault because of something you did, anyway.
context: Don't you have something to say?\The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway. response:	Yeah, that's exactly right.
context: The other day, well...\I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right. response:	And you haven't apologized.
context: I shouldn't have said it that way.\It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized. response:	Very true...
context: It wasn't just the way you said it.\Your attitude was lousy, too. And your personality.\Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized.\Very true... response:	But you're my brother, and that's who you are.
context: Your attitude was lousy, too. And your personality.\Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized.\Very true...\But you're my brother, and that's who you are. response:	I'm your sister, after all.
context: Also, your eyes.\Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized.\Very true...\But you're my brother, and that's who you are.\I'm your sister, after all. response:	So I'll forgive you.
context: Right...\I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized.\Very true...\But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you. response:	Also...
context: I bet it's your fault because of something you did, anyway.\Yeah, that's exactly right.\And you haven't apologized.\Very true...\But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you.\Also... response:	I'm sorry, too.
context: Yeah, that's exactly right.\And you haven't apologized.\Very true...\But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you.\Also...\I'm sorry, too. response:	Hey, don't sweat it. I forgive you.
context: And you haven't apologized.\Very true...\But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you.\Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you. response:	I'm your brother, after all.
context: Very true...\But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you.\Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all. response:	Ugh, you're so full of yourself.
context: But you're my brother, and that's who you are.\I'm your sister, after all.\So I'll forgive you.\Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself. response:	So, what happened?
context: I'm your sister, after all.\So I'll forgive you.\Also...\I'm sorry, too.\Hey, don't sweat it. I forgive you.\I'm your brother, after all.\Ugh, you're so full of yourself.\So, what happened? response:	This could take a while.
