context: World War III. response:	By 2036,
context: World War III.\By 2036, response:	it will have resulted in 5.7 billion casualties worldwide.
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide. response:	And this is what starts it.
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it. response:	Huh? What is it?
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it? response:	It's only a model.
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it?\It's only a model. response:	Maybe it transforms or something?
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it?\It's only a model.\Maybe it transforms or something? response:	A time machine.
context: World War III.\By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it?\It's only a model.\Maybe it transforms or something?\A time machine. response:	Seriously?
context: By 2036,\it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it?\It's only a model.\Maybe it transforms or something?\A time machine.\Seriously? response:	I knew you'd recognize it, Uncle.
context: it will have resulted in 5.7 billion casualties worldwide.\And this is what starts it.\Huh? What is it?\It's only a model.\Maybe it transforms or something?\A time machine.\Seriously?\I knew you'd recognize it, Uncle. response:	Then that makes this easy.
context: And this is what starts it.\Huh? What is it?\It's only a model.\Maybe it transforms or something?\A time machine.\Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy. response:	Come with me.
context: Huh? What is it?\It's only a model.\Maybe it transforms or something?\A time machine.\Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me. response:	I refuse...
context: It's only a model.\Maybe it transforms or something?\A time machine.\Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me.\I refuse... response:	Okarin?
context: Maybe it transforms or something?\A time machine.\Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me.\I refuse...\Okarin? response:	I've come here from the alpha world line.
context: A time machine.\Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me.\I refuse...\Okarin?\I've come here from the alpha world line. response:	Over the past three weeks,
context: Seriously?\I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me.\I refuse...\Okarin?\I've come here from the alpha world line.\Over the past three weeks, response:	I changed that world line again and again,
context: I knew you'd recognize it, Uncle.\Then that makes this easy.\Come with me.\I refuse...\Okarin?\I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again, response:	sacrificing Kurisu to return here, to the beta world line.
context: Then that makes this easy.\Come with me.\I refuse...\Okarin?\I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line. response:	I can't let all of that count for nothing!
context: Come with me.\I refuse...\Okarin?\I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing! response:	Kurisu-san?
context: I refuse...\Okarin?\I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san? response:	Kurisu?
context: Okarin?\I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san?\Kurisu? response:	Wasn't that the name of the scientist
context: I've come here from the alpha world line.\Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san?\Kurisu?\Wasn't that the name of the scientist response:	who was stabbed at the Radio Building?
context: Over the past three weeks,\I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san?\Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building? response:	Okabe Rintarou,
context: I changed that world line again and again,\sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san?\Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou, response:	what if I told you that the way to avoid World War III
context: sacrificing Kurisu to return here, to the beta world line.\I can't let all of that count for nothing!\Kurisu-san?\Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III response:	is to prevent Makise Kurisu's death
context: I can't let all of that count for nothing!\Kurisu-san?\Kurisu?\Wasn't that the name of the scientist\who was stabbed at the Radio Building?\Okabe Rintarou,\what if I told you that the way to avoid World War III\is to prevent Makise Kurisu's death response:	on July 28th, 2010?
