context: The number one hero, All Might. response:	Age unknown, Quirk unidentified.
context: The number one hero, All Might.\Age unknown, Quirk unidentified. response:	He dashed onto the scene of the hero world
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world response:	and received unwavering popularity based on his ability.
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability. response:	Ever since he appeared...
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared... response:	He became the Symbol of Peace in both name and reality.
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality. response:	And that man said to me
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me response:	You can become a hero.
context: The number one hero, All Might.\Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero. response:	Huh? Midoriya? No way!
context: Age unknown, Quirk unidentified.\He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero.\Huh? Midoriya? No way! response:	You're Quirkless!
context: He dashed onto the scene of the hero world\and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero.\Huh? Midoriya? No way!\You're Quirkless! response:	How can you even stand in the same ring as me?
context: and received unwavering popularity based on his ability.\Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero.\Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me? response:	You should probably give it up.
context: Ever since he appeared...\He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero.\Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up. response:	I'm sorry, Izuku!
context: He became the Symbol of Peace in both name and reality.\And that man said to me\You can become a hero.\Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku! response:	I wanted someone to tell me that.
context: And that man said to me\You can become a hero.\Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that. response:	And then, the person I most admired said those words to me.
context: You can become a hero.\Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me. response:	Can anything be more shocking than this?
context: Huh? Midoriya? No way!\You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this? response:	More than this...?
context: You're Quirkless!\How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...? response:	You are worthy to inherit my power.
context: How can you even stand in the same ring as me?\You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power. response:	Inherit your power?
context: You should probably give it up.\I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power.\Inherit your power? response:	What's with that face?
context: I'm sorry, Izuku!\I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power.\Inherit your power?\What's with that face? response:	It's just a suggestion.
context: I wanted someone to tell me that.\And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power.\Inherit your power?\What's with that face?\It's just a suggestion. response:	The real show starts after this.
context: And then, the person I most admired said those words to me.\Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power.\Inherit your power?\What's with that face?\It's just a suggestion.\The real show starts after this. response:	Listen, young man.
context: Can anything be more shocking than this?\More than this...?\You are worthy to inherit my power.\Inherit your power?\What's with that face?\It's just a suggestion.\The real show starts after this.\Listen, young man. response:	You need to decide whether or not you will accept my power!
context: More than this...?\You are worthy to inherit my power.\Inherit your power?\What's with that face?\It's just a suggestion.\The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power! response:	Wh-What is All Might saying...?
context: You are worthy to inherit my power.\Inherit your power?\What's with that face?\It's just a suggestion.\The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...? response:	I'm talking about my power, young man.
context: Inherit your power?\What's with that face?\It's just a suggestion.\The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man. response:	The tabloids called it superhuman strength and a boost...
context: What's with that face?\It's just a suggestion.\The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost... response:	Because the Symbol of Peace, All Might, had to be a natural-born hero.
context: It's just a suggestion.\The real show starts after this.\Listen, young man.\You need to decide whether or not you will accept my power!\Wh-What is All Might saying...?\I'm talking about my power, young man.\The tabloids called it superhuman strength and a boost...\Because the Symbol of Peace, All Might, had to be a natural-born hero. response:	But young man, I will tell you the truth.
