context: Maison de Ayakashi... response:	Also known as Ayakashi Kan.
context: Maison de Ayakashi...\Also known as Ayakashi Kan. response:	An apartment complex where humans, partially descended
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended response:	from supernatural creatures, gather.
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather. response:	We're proper humans.
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans. response:	I don't know what the hell you're talking about,
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about, response:	but I'm telling you, just keep quiet!
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet! response:	Don't...
context: Maison de Ayakashi...\Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't... response:	touch me.
context: Also known as Ayakashi Kan.\An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't...\touch me. response:	Oh, really?
context: An apartment complex where humans, partially descended\from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't...\touch me.\Oh, really? response:	This form is so much more relaxing.
context: from supernatural creatures, gather.\We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't...\touch me.\Oh, really?\This form is so much more relaxing. response:	I came here to be alone.
context: We're proper humans.\I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't...\touch me.\Oh, really?\This form is so much more relaxing.\I came here to be alone. response:	And yet...
context: I don't know what the hell you're talking about,\but I'm telling you, just keep quiet!\Don't...\touch me.\Oh, really?\This form is so much more relaxing.\I came here to be alone.\And yet... response:	Miss Ririchiyo,
context: but I'm telling you, just keep quiet!\Don't...\touch me.\Oh, really?\This form is so much more relaxing.\I came here to be alone.\And yet...\Miss Ririchiyo, response:	are you really going to leave?
context: Don't...\touch me.\Oh, really?\This form is so much more relaxing.\I came here to be alone.\And yet...\Miss Ririchiyo,\are you really going to leave? response:	And discard me?
context: touch me.\Oh, really?\This form is so much more relaxing.\I came here to be alone.\And yet...\Miss Ririchiyo,\are you really going to leave?\And discard me? response:	I'll be right back.
context: Oh, really?\This form is so much more relaxing.\I came here to be alone.\And yet...\Miss Ririchiyo,\are you really going to leave?\And discard me?\I'll be right back. response:	To me, a single moment apart from you
context: This form is so much more relaxing.\I came here to be alone.\And yet...\Miss Ririchiyo,\are you really going to leave?\And discard me?\I'll be right back.\To me, a single moment apart from you response:	feels like an eternity.
context: I came here to be alone.\And yet...\Miss Ririchiyo,\are you really going to leave?\And discard me?\I'll be right back.\To me, a single moment apart from you\feels like an eternity. response:	You...
context: And yet...\Miss Ririchiyo,\are you really going to leave?\And discard me?\I'll be right back.\To me, a single moment apart from you\feels like an eternity.\You... response:	Miss Ririchiyo!
context: Miss Ririchiyo,\are you really going to leave?\And discard me?\I'll be right back.\To me, a single moment apart from you\feels like an eternity.\You...\Miss Ririchiyo! response:	At least let me use the toilet alone!
context: are you really going to leave?\And discard me?\I'll be right back.\To me, a single moment apart from you\feels like an eternity.\You...\Miss Ririchiyo!\At least let me use the toilet alone! response:	I shall await you here forever!
context: And discard me?\I'll be right back.\To me, a single moment apart from you\feels like an eternity.\You...\Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever! response:	This is a golden retriever.
context: I'll be right back.\To me, a single moment apart from you\feels like an eternity.\You...\Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever. response:	Just being by his master's side
context: To me, a single moment apart from you\feels like an eternity.\You...\Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever.\Just being by his master's side response:	gives him the happiest expression.
context: feels like an eternity.\You...\Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever.\Just being by his master's side\gives him the happiest expression. response:	However...
context: You...\Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever.\Just being by his master's side\gives him the happiest expression.\However... response:	Miss Ririchiyo,
context: Miss Ririchiyo!\At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever.\Just being by his master's side\gives him the happiest expression.\However...\Miss Ririchiyo, response:	any moment without you is empty and devoid of meaning.
context: At least let me use the toilet alone!\I shall await you here forever!\This is a golden retriever.\Just being by his master's side\gives him the happiest expression.\However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning. response:	Please be sure to give them lots of love.
context: I shall await you here forever!\This is a golden retriever.\Just being by his master's side\gives him the happiest expression.\However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love. response:	That's just like him.
context: This is a golden retriever.\Just being by his master's side\gives him the happiest expression.\However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him. response:	A Lonely Dog
context: Just being by his master's side\gives him the happiest expression.\However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him.\A Lonely Dog response:	Hey, Ririchiyo.
context: gives him the happiest expression.\However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him.\A Lonely Dog\Hey, Ririchiyo. response:	'Sup?
context: However...\Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him.\A Lonely Dog\Hey, Ririchiyo.\'Sup? response:	Didn't I tell you not to address me like
context: Miss Ririchiyo,\any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him.\A Lonely Dog\Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like response:	one of your buddies?
context: any moment without you is empty and devoid of meaning.\Please be sure to give them lots of love.\That's just like him.\A Lonely Dog\Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like\one of your buddies? response:	Good morning.
context: Please be sure to give them lots of love.\That's just like him.\A Lonely Dog\Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like\one of your buddies?\Good morning. response:	That's your whole breakfast? Not very much, is it?
context: That's just like him.\A Lonely Dog\Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like\one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it? response:	It's none of your business.
context: A Lonely Dog\Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like\one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business. response:	And you're having curry udon for breakfast?
context: Hey, Ririchiyo.\'Sup?\Didn't I tell you not to address me like\one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast? response:	Not that I care.
context: 'Sup?\Didn't I tell you not to address me like\one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast?\Not that I care. response:	Just don't splatter any soup on me.
context: Didn't I tell you not to address me like\one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me. response:	Don't worry. I'm a pretty careful eater.
context: one of your buddies?\Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater. response:	Whoops.
context: Good morning.\That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops. response:	What did I just tell you?
context: That's your whole breakfast? Not very much, is it?\It's none of your business.\And you're having curry udon for breakfast?\Not that I care.\Just don't splatter any soup on me.\Don't worry. I'm a pretty careful eater.\Whoops.\What did I just tell you? response:	Sorry.
