context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight. response:	I'll deliver the wine to Fourth Brother's manor tomorrow.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow. response:	- A-Li has gone to sleep? - He's sleeping.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping. response:	He always falls asleep come nightfall.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall. response:	All these years, you've taken on the role of his father and his mother.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother. response:	It truly is not an easy task.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task. response:	I have yet to thank you for saving my life.
context: I've finally gotten rid of that father and son.\I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life. response:	I wasn't expecting you to thank me.
context: I'll find a place to sleep on the north bank tonight.\I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me. response:	Why?
context: I'll deliver the wine to Fourth Brother's manor tomorrow.\- A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why? response:	Although I saved you 300 years ago, I did not wake you up.
context: - A-Li has gone to sleep? - He's sleeping.\He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up. response:	At the time, you were completely disheartened and had no will to live.
context: He always falls asleep come nightfall.\All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live. response:	Since you did not want to live, why are you thanking me now?
context: All these years, you've taken on the role of his father and his mother.\It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now? response:	But it seems you have found something to live for now.
context: It truly is not an easy task.\I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now. response:	Come, try my peach blossom wine.
context: I have yet to thank you for saving my life.\I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine. response:	Tell me. What have you come for today?
context: I wasn't expecting you to thank me.\Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today? response:	Bai Qian of Qing Qiu.
context: Why?\Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu. response:	When I accepted the engagement between you two 300 years at the grand hall
context: Although I saved you 300 years ago, I did not wake you up.\At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall response:	you did not seem interested.
context: At the time, you were completely disheartened and had no will to live.\Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested. response:	Yet, you are now.
context: Since you did not want to live, why are you thanking me now?\But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now. response:	I have three questions.
context: But it seems you have found something to live for now.\Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now.\I have three questions. response:	What are they? Tell me.
context: Come, try my peach blossom wine.\Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now.\I have three questions.\What are they? Tell me. response:	Let's see if I can help you clear things up.
context: Tell me. What have you come for today?\Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now.\I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up. response:	Why is Bai Qian so averse to bright lights?
context: Bai Qian of Qing Qiu.\When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now.\I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights? response:	Were her eyes injured before?
context: When I accepted the engagement between you two 300 years at the grand hall\you did not seem interested.\Yet, you are now.\I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before? response:	It is an ailment she was born with.
context: you did not seem interested.\Yet, you are now.\I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with. response:	Is it true that in her battle with Qing Cang 300 years ago
context: Yet, you are now.\I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago response:	she was injured and was unconscious for many years?
context: I have three questions.\What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years? response:	Of course it is true. The whole world knows it.
context: What are they? Tell me.\Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it. response:	What's the matter?
context: Let's see if I can help you clear things up.\Why is Bai Qian so averse to bright lights?\Were her eyes injured before?\It is an ailment she was born with.\Is it true that in her battle with Qing Cang 300 years ago\she was injured and was unconscious for many years?\Of course it is true. The whole world knows it.\What's the matter? response:	You don't believe it?
