context: The Scale Festival starts tomorrow, huh? response:	Everyone is really excited.
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited. response:	It's our first festival in Akihabara, after all.
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all. response:	Since the festival was approved,
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved, response:	many guilds have been making special items for the event.
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event. response:	So it seems.
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event.\So it seems. response:	Licensed by the Round Table Princess Figures (Wood Carved)
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved) response:	Only 40 of Each Design! 500 Gold
context: The Scale Festival starts tomorrow, huh?\Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold response:	Just hearing there's a festival makes a lot of people want to do something.
context: Everyone is really excited.\It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something. response:	Decorations?
context: It's our first festival in Akihabara, after all.\Since the festival was approved,\many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations? response:	You've got quite a lot there.
context: Since the festival was approved,\many guilds have been making special items for the event.\So it seems.\Licensed by the Round Table Princess Figures (Wood Carved)\Only 40 of Each Design! 500 Gold\Just hearing there's a festival makes a lot of people want to do something.\Decorations?\You've got quite a lot there. response:	They won't even fit in my magic bag.
