context: Good morning! Greetings, all. This is Morioh Radio, response:	and your host, once again, is me, your neighbor, Kai Harada.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada. response:	What a refreshing morning.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning. response:	And I have the perfect song here to start off the day.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day. response:	Here's our first song of the morning.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning. response:	Oh, there we go.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go. response:	We usually get good reception when we pass that tower.
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower. response:	Is this your first time in Morioh, sir?
context: Good morning! Greetings, all. This is Morioh Radio,\and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir? response:	Yeah.
context: and your host, once again, is me, your neighbor, Kai Harada.\What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah. response:	What kind of place is it?
context: What a refreshing morning.\And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah.\What kind of place is it? response:	Morioh? Hmm...
context: And I have the perfect song here to start off the day.\Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah.\What kind of place is it?\Morioh? Hmm... response:	Oh! The beef tongue cooked in miso is good.
context: Here's our first song of the morning.\Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah.\What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good. response:	Anything strange about it? Any incidents?
context: Oh, there we go.\We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah.\What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents? response:	No idea.
context: We usually get good reception when we pass that tower.\Is this your first time in Morioh, sir?\Yeah.\What kind of place is it?\Morioh? Hmm...\Oh! The beef tongue cooked in miso is good.\Anything strange about it? Any incidents?\No idea. response:	Sorry, I actually don't know that much about it.
