context: Time is a burden. response:	That's what I believe.
context: Time is a burden.\That's what I believe. response:	Do you know Ayakashi Kan?
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan? response:	Did you hear?
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan?\Did you hear? response:	You mean Maison de Ayakashi?
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi? response:	They say the security is unbelievable.
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable. response:	Yes, that celebrity complex.
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex. response:	I've got a bad habit.
context: Time is a burden.\That's what I believe.\Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit. response:	The one where each apartment
context: That's what I believe.\Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment response:	gets one member of the Secret Service, right?
context: Do you know Ayakashi Kan?\Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right? response:	Apparently she's a new tenant.
context: Did you hear?\You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant. response:	What do you mean, Secret Service?
context: You mean Maison de Ayakashi?\They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service? response:	A bodyguard.
context: They say the security is unbelievable.\Yes, that celebrity complex.\I've got a bad habit.\The one where each apartment\gets one member of the Secret Service, right?\Apparently she's a new tenant.\What do you mean, Secret Service?\A bodyguard. response:	I hear she's the daughter of an old family.
