context: The land of Flonyard. response:	On this continent, bathed in protective light,
context: The land of Flonyard.\On this continent, bathed in protective light, response:	the people are joyous and live in peace.
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace. response:	However, this last spring, something unfortunate happened
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened response:	in the south of the continent, in the Biscotti Republic.
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic. response:	Thus, Princess Millihiore of Biscotti
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti response:	summoned a champion from a faraway world.
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world. response:	The person who answered her summons had a smile
context: The land of Flonyard.\On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile response:	for every person he met, and brought happiness into their hearts.
context: On this continent, bathed in protective light,\the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts. response:	Even though this hero returned to Earth
context: the people are joyous and live in peace.\However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth response:	once his mission was over...
context: However, this last spring, something unfortunate happened\in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over... response:	Now, summer has come.
context: in the south of the continent, in the Biscotti Republic.\Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over...\Now, summer has come. response:	That's why the tale of love
context: Thus, Princess Millihiore of Biscotti\summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over...\Now, summer has come.\That's why the tale of love response:	and bravery of the hero,
context: summoned a champion from a faraway world.\The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over...\Now, summer has come.\That's why the tale of love\and bravery of the hero, response:	and of us, will begin anew.
context: The person who answered her summons had a smile\for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over...\Now, summer has come.\That's why the tale of love\and bravery of the hero,\and of us, will begin anew. response:	7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward
context: for every person he met, and brought happiness into their hearts.\Even though this hero returned to Earth\once his mission was over...\Now, summer has come.\That's why the tale of love\and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward response:	So, Sink, are you going to tell me now?
context: Even though this hero returned to Earth\once his mission was over...\Now, summer has come.\That's why the tale of love\and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now? response:	Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi
context: once his mission was over...\Now, summer has come.\That's why the tale of love\and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi response:	What exactly?
context: Now, summer has come.\That's why the tale of love\and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly? response:	Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)
context: That's why the tale of love\and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend) response:	The destination of the upcoming trip!
context: and bravery of the hero,\and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip! response:	I already told you.
context: and of us, will begin anew.\7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you. response:	I can't tell you until we get there.
context: 7/22/2011, 7:05 AM Earth/ Japan, Kinokawa City, Tokino Ward\So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you.\I can't tell you until we get there. response:	Same day, 11:09 PM Earth/ Great Britain, City of London
context: So, Sink, are you going to tell me now?\Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London response:	Hi, Sink. It's me, Nanami.
context: Kinokawa International School, 2nd year Middle School student Placed 2nd in the Iron Athletics tournament last year Sink Izumi\What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami. response:	Where are you?
context: What exactly?\Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you? response:	Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)
context: Kinokawa International School, 2nd year Middle School student Rebecca Anderson (Sink's childhood friend)\The destination of the upcoming trip!\I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin) response:	Almost at the station.
context: The destination of the upcoming trip!\I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station. response:	I just have to wait there, right?
context: I already told you.\I can't tell you until we get there.\Same day, 11:09 PM Earth/ Great Britain, City of London\Hi, Sink. It's me, Nanami.\Where are you?\Winner of the Iron Athletics tournament last year Takatsuki Nanami (Lives in London, Sink's cousin)\Almost at the station.\I just have to wait there, right? response:	Yes.
