context: I send you my greetings, Elder Sister. response:	It has been four months since I left Japan.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan. response:	In answer to a request from Lord Horikawa himself, I am acting as a spy in London.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London. response:	Oh, a spy is something like an onmitsu or a ninja.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja. response:	Morning comes late for a spy.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy. response:	We often work deep into the night, so we are much like owls.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls. response:	I wonder why Westerners sleep so high off of the ground.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground. response:	And they don't remove their footwear when they come inside.
context: I send you my greetings, Elder Sister.\It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside. response:	This makes their feet stink.
context: It has been four months since I left Japan.\In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink. response:	S-something stinks!
context: In answer to a request from Lord Horikawa himself, I am acting as a spy in London.\Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks! response:	This girl is Beatrice.
context: Oh, a spy is something like an onmitsu or a ninja.\Morning comes late for a spy.\We often work deep into the night, so we are much like owls.\I wonder why Westerners sleep so high off of the ground.\And they don't remove their footwear when they come inside.\This makes their feet stink.\S-something stinks!\This girl is Beatrice. response:	She is the daughter of a baron, and she and I are in the same year at school.
