context: After being separated all of a sudden from Cana, response:	I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru. response:	Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine. response:	Oh, shut up!
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up! response:	But with the new special move I came up with, we raked a big white dumpling over the coals!
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals! response:	Special move, sure...
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure... response:	Pull harder!
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder! response:	I'm pulling as hard as I can!
context: After being separated all of a sudden from Cana,\I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder!\I'm pulling as hard as I can! response:	Aye!
context: I was thrown into a battle with one of the 7 Kin of Purgatory, Kain Hikaru.\Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder!\I'm pulling as hard as I can!\Aye! response:	And wait... Can't you just break the rocks with your fire, Natsu?
context: Natsu and I joined the battle halfway, but Natsu didn't really get a chance to shine.\Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder!\I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu? response:	Good thinking!
context: Oh, shut up!\But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder!\I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking! response:	Jeez...
context: But with the new special move I came up with, we raked a big white dumpling over the coals!\Special move, sure...\Pull harder!\I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez... response:	Light and darkness, mixed together...
context: Special move, sure...\Pull harder!\I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez...\Light and darkness, mixed together... response:	The ones who will lead the way to the shining red tomorrow...
context: Pull harder!\I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow... response:	Fairies or Demons...
context: I'm pulling as hard as I can!\Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons... response:	Whose hearts will it be?
context: Aye!\And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be? response:	Magic blades?
context: And wait... Can't you just break the rocks with your fire, Natsu?\Good thinking!\Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be?\Magic blades? response:	She can summon weapons as well?
context: Good thinking!\Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be?\Magic blades?\She can summon weapons as well? response:	Go.
context: Jeez...\Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be?\Magic blades?\She can summon weapons as well?\Go. response:	Juvia's body is made of water!
context: Light and darkness, mixed together...\The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be?\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water! response:	No matter the attack, Juvia will not...
context: The ones who will lead the way to the shining red tomorrow...\Fairies or Demons...\Whose hearts will it be?\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not... response:	Juvia!
context: Fairies or Demons...\Whose hearts will it be?\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia! response:	Juvia's body made of water... was injured?
context: Whose hearts will it be?\Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured? response:	My blades attack the sense of pain directly.
context: Magic blades?\She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly. response:	In other words, they are sensory blades.
context: She can summon weapons as well?\Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades. response:	That magic power...
context: Go.\Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power... response:	I see.
context: Juvia's body is made of water!\No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see. response:	You must be one of the 7 Kin of Purgatory.
context: No matter the attack, Juvia will not...\Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory. response:	I do not deem answering that as necessary.
context: Juvia!\Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary. response:	Wipe out the enemy. That is my mission.
context: Juvia's body made of water... was injured?\My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission. response:	Dead-End of Despair.
context: My blades attack the sense of pain directly.\In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair. response:	He's gone!
context: In other words, they are sensory blades.\That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone! response:	Zeref was here?
context: That magic power...\I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone!\Zeref was here? response:	He's been taken away already!
context: I see.\You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone!\Zeref was here?\He's been taken away already! response:	What's with this smell?
context: You must be one of the 7 Kin of Purgatory.\I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone!\Zeref was here?\He's been taken away already!\What's with this smell? response:	She must have spread something around.
context: I do not deem answering that as necessary.\Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone!\Zeref was here?\He's been taken away already!\What's with this smell?\She must have spread something around. response:	I can't follow her like this...
context: Wipe out the enemy. That is my mission.\Dead-End of Despair.\He's gone!\Zeref was here?\He's been taken away already!\What's with this smell?\She must have spread something around.\I can't follow her like this... response:	I've gotta search for Cana, too!
context: Dead-End of Despair.\He's gone!\Zeref was here?\He's been taken away already!\What's with this smell?\She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too! response:	Why are you lifting your leg?
context: He's gone!\Zeref was here?\He's been taken away already!\What's with this smell?\She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg? response:	Happy!
context: Zeref was here?\He's been taken away already!\What's with this smell?\She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg?\Happy! response:	Crap... Maybe I'll take a nap?
context: He's been taken away already!\What's with this smell?\She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap? response:	Don't do that.
context: What's with this smell?\She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap?\Don't do that. response:	I'm worried about Cana too...
context: She must have spread something around.\I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too... response:	Lucy-san, I'm sorry...
context: I can't follow her like this...\I've gotta search for Cana, too!\Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry... response:	It's like I just explained.
context: I've gotta search for Cana, too!\Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained. response:	They're trying to use Zeref to change the world!
context: Why are you lifting your leg?\Happy!\Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world! response:	Change the world, huh?
context: Happy!\Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh? response:	That's just way over-the-top.
context: Crap... Maybe I'll take a nap?\Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top. response:	I wanna live in a world that's just full of fish!
context: Don't do that.\I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish! response:	Um, it's not like that.
context: I'm worried about Cana too...\Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that. response:	But see here...
context: Lucy-san, I'm sorry...\It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here... response:	I'm gonna make sure to finish this.
context: It's like I just explained.\They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here...\I'm gonna make sure to finish this. response:	They hurt Gramps.
context: They're trying to use Zeref to change the world!\Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here...\I'm gonna make sure to finish this.\They hurt Gramps. response:	Those guys better not think I'll let them off this island.
context: Change the world, huh?\That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here...\I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island. response:	Off the island?
context: That's just way over-the-top.\I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here...\I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island? response:	That's it! They must have a ship somewhere!
context: I wanna live in a world that's just full of fish!\Um, it's not like that.\But see here...\I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere! response:	That woman from before said something about bringing Zeref back to their master, right?
context: Um, it's not like that.\But see here...\I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right? response:	There's a good chance that their ship is anchored somewhere around here.
context: But see here...\I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here. response:	Zeref is being taken there!
context: I'm gonna make sure to finish this.\They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there! response:	Happy, search for their ship from the sky!
context: They hurt Gramps.\Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky! response:	Looks... like I'm out of magic power.
context: Those guys better not think I'll let them off this island.\Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power. response:	Then I guess you're just a widdle kitty cat...
context: Off the island?\That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat... response:	In that case, how about we go back to where Wendy and Gramps is...
context: That's it! They must have a ship somewhere!\That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is... response:	We can ask Carla and Lily.
context: That woman from before said something about bringing Zeref back to their master, right?\There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily. response:	This is Route E, where the first test of the exam took place.
context: There's a good chance that their ship is anchored somewhere around here.\Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place. response:	The grave of Mavis, the founding master of Fairy Tail, is somewhere in here.
context: Zeref is being taken there!\Happy, search for their ship from the sky!\Looks... like I'm out of magic power.\Then I guess you're just a widdle kitty cat...\In that case, how about we go back to where Wendy and Gramps is...\We can ask Carla and Lily.\This is Route E, where the first test of the exam took place.\The grave of Mavis, the founding master of Fairy Tail, is somewhere in here. response:	I'll climb into first place.
