context: Mom... response:	What are you doing here?
context: Mom...\What are you doing here? response:	Why do you look just like you did when you left me?
context: Mom...\What are you doing here?\Why do you look just like you did when you left me? response:	Why? Why?
context: Mom...\What are you doing here?\Why do you look just like you did when you left me?\Why? Why? response:	Mom, give me an answer!
context: Mom...\What are you doing here?\Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer! response:	Intruder in the Alicia Room!
context: Mom...\What are you doing here?\Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room! response:	Intruder in the Alicia Room!
context: Mom...\What are you doing here?\Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room! response:	Only one target!
context: Mom...\What are you doing here?\Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target! response:	Block off the halls!
context: What are you doing here?\Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target!\Block off the halls! response:	Don't move a muscle!
context: Why do you look just like you did when you left me?\Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target!\Block off the halls!\Don't move a muscle! response:	Stop.
context: Why? Why?\Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target!\Block off the halls!\Don't move a muscle!\Stop. response:	It's dangerous here, Sir Izumo! Please, leave at once!
context: Mom, give me an answer!\Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target!\Block off the halls!\Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once! response:	Izumo?
context: Intruder in the Alicia Room!\Intruder in the Alicia Room!\Only one target!\Block off the halls!\Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo? response:	You!
context: Intruder in the Alicia Room!\Only one target!\Block off the halls!\Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You! response:	No, you leave.
context: Only one target!\Block off the halls!\Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You!\No, you leave. response:	Wait outside until I say otherwise.
context: Block off the halls!\Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You!\No, you leave.\Wait outside until I say otherwise. response:	But...
context: Don't move a muscle!\Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You!\No, you leave.\Wait outside until I say otherwise.\But... response:	Just do as I say.
context: Stop.\It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You!\No, you leave.\Wait outside until I say otherwise.\But...\Just do as I say. response:	Be careful, sir.
context: It's dangerous here, Sir Izumo! Please, leave at once!\Izumo?\You!\No, you leave.\Wait outside until I say otherwise.\But...\Just do as I say.\Be careful, sir. response:	Boy with wings.
context: Izumo?\You!\No, you leave.\Wait outside until I say otherwise.\But...\Just do as I say.\Be careful, sir.\Boy with wings. response:	I did not expect us to meet again so soon.
context: You!\No, you leave.\Wait outside until I say otherwise.\But...\Just do as I say.\Be careful, sir.\Boy with wings.\I did not expect us to meet again so soon. response:	What is my mom... what is this woman doing here?
