context: SIGNS oh god timer why did you do the op credits response:	OP
context: SIGNS oh god timer why did you do the op credits\OP response:	ED
context: SIGNS oh god timer why did you do the op credits\OP\ED response:	Jo - Johnny!?
context: SIGNS oh god timer why did you do the op credits\OP\ED\Jo - Johnny!? response:	Stop!
context: SIGNS oh god timer why did you do the op credits\OP\ED\Jo - Johnny!?\Stop! response:	Stop it!
context: SIGNS oh god timer why did you do the op credits\OP\ED\Jo - Johnny!?\Stop!\Stop it! response:	What's wrong, Takizawa?
context: SIGNS oh god timer why did you do the op credits\OP\ED\Jo - Johnny!?\Stop!\Stop it!\What's wrong, Takizawa? response:	I'm gonna give him a good smacking.
context: SIGNS oh god timer why did you do the op credits\OP\ED\Jo - Johnny!?\Stop!\Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking. response:	Is something wrong, sir?
context: OP\ED\Jo - Johnny!?\Stop!\Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir? response:	Maybe you shouldn't be wearing that shirt around...
context: ED\Jo - Johnny!?\Stop!\Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around... response:	Don't worry about it. I think I get why SeleCao II wanted me to wear it now.
context: Jo - Johnny!?\Stop!\Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now. response:	Iinuma Akira, correct?
context: Stop!\Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct? response:	Yeah...
context: Stop it!\What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah... response:	I'm Iinuma Seijiro's wife, Iinuma Chigusa.
context: What's wrong, Takizawa?\I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa. response:	Who are you? And how are you connected to yesterday's missile incident?
context: I'm gonna give him a good smacking.\Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident? response:	Missile incident?
context: Is something wrong, sir?\Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident? response:	Oh, right, I think I'm one of the people it was targeting.
context: Maybe you shouldn't be wearing that shirt around...\Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting. response:	I see.
context: Don't worry about it. I think I get why SeleCao II wanted me to wear it now.\Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see. response:	So you're admitting you're one of the terrorists.
context: Iinuma Akira, correct?\Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists. response:	What!?
context: Yeah...\I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists.\What!? response:	The government has announced that last night's incident
context: I'm Iinuma Seijiro's wife, Iinuma Chigusa.\Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident response:	was a preemptive attack on the terrorists who perpetrated Careless Monday.
context: Who are you? And how are you connected to yesterday's missile incident?\Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday. response:	Why have they done that!?
context: Missile incident?\Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!? response:	Is this another part of Mononobe's request?
context: Oh, right, I think I'm one of the people it was targeting.\I see.\So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request? response:	In any case, your existence is nothing but an insult to Iinuma Seijiro.
context: I see.\So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request?\In any case, your existence is nothing but an insult to Iinuma Seijiro. response:	Even after Iinuma was brought down by infighting, he stood up for this country again,
context: So you're admitting you're one of the terrorists.\What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request?\In any case, your existence is nothing but an insult to Iinuma Seijiro.\Even after Iinuma was brought down by infighting, he stood up for this country again, response:	and died with patriotism still burning in his heart.
context: What!?\The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request?\In any case, your existence is nothing but an insult to Iinuma Seijiro.\Even after Iinuma was brought down by infighting, he stood up for this country again,\and died with patriotism still burning in his heart. response:	I'll show the world all of your misdeeds, starting with claiming to be Iinuma Seijiro's illegitimate son!
context: The government has announced that last night's incident\was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request?\In any case, your existence is nothing but an insult to Iinuma Seijiro.\Even after Iinuma was brought down by infighting, he stood up for this country again,\and died with patriotism still burning in his heart.\I'll show the world all of your misdeeds, starting with claiming to be Iinuma Seijiro's illegitimate son! response:	I'm having your DNA tested.
context: was a preemptive attack on the terrorists who perpetrated Careless Monday.\Why have they done that!?\Is this another part of Mononobe's request?\In any case, your existence is nothing but an insult to Iinuma Seijiro.\Even after Iinuma was brought down by infighting, he stood up for this country again,\and died with patriotism still burning in his heart.\I'll show the world all of your misdeeds, starting with claiming to be Iinuma Seijiro's illegitimate son!\I'm having your DNA tested. response:	Sorry. Looks like I can't stay with you for now.
