context: This shell can only be broken by those who go on adventures. response:	Level 6?
context: This shell can only be broken by those who go on adventures.\Level 6? response:	It was the thirty-seventh floor, I think?
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think? response:	She defeated a deep dungeon floor boss all by herself, I heard.
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard. response:	By herself?
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself? response:	Normally, beating one of those
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those response:	things calls for a huge party of skilled adventurers,
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers, response:	and it'll still be close.
context: This shell can only be broken by those who go on adventures.\Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close. response:	You can't compare yourself to her, Bell-kun.
context: Level 6?\It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun. response:	Even I've never even heard of anybody like her.
context: It was the thirty-seventh floor, I think?\She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her. response:	Miss Wallenstein is special.
context: She defeated a deep dungeon floor boss all by herself, I heard.\By herself?\Normally, beating one of those\things calls for a huge party of skilled adventurers,\and it'll still be close.\You can't compare yourself to her, Bell-kun.\Even I've never even heard of anybody like her.\Miss Wallenstein is special. response:	I want to get closer to her, even if it's just a little.
