context: That photo just now... response:	Was that Chitoge-chan?
context: That photo just now...\Was that Chitoge-chan? response:	Why would Ichijou-kun have that?
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that? response:	Don't tell me...
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me... response:	Don't tell me he actually...
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually... response:	I'm home!
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually...\I'm home! response:	Good work today, sir!
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually...\I'm home!\Good work today, sir! response:	Well, I sure got my hands on an awesome photo today!
context: That photo just now...\Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually...\I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today! response:	Maybe I'll frame it.
context: Was that Chitoge-chan?\Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually...\I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it. response:	I'd better make sure Onodera doesn't see it, though.
context: Why would Ichijou-kun have that?\Don't tell me...\Don't tell me he actually...\I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though. response:	So I still don't know which one's the girl I made that promise with.
context: Don't tell me...\Don't tell me he actually...\I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with. response:	But how am I supposed to figure it out?
context: Don't tell me he actually...\I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out? response:	Man, if only I had a photo of her, almost like this one.
context: I'm home!\Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one. response:	I bet it would at least give me a hint.
context: Good work today, sir!\Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint. response:	Huh? Photos?
context: Well, I sure got my hands on an awesome photo today!\Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos? response:	Yeah, we should still have some.
context: Maybe I'll frame it.\I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some. response:	What?!
context: I'd better make sure Onodera doesn't see it, though.\So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some.\What?! response:	Where the hell have they been all this time?!
context: So I still don't know which one's the girl I made that promise with.\But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some.\What?!\Where the hell have they been all this time?! response:	I've turned this house upside-down numerous times looking for them, you know!
context: But how am I supposed to figure it out?\Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some.\What?!\Where the hell have they been all this time?!\I've turned this house upside-down numerous times looking for them, you know! response:	Oh, no wonder you couldn't find them.
context: Man, if only I had a photo of her, almost like this one.\I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some.\What?!\Where the hell have they been all this time?!\I've turned this house upside-down numerous times looking for them, you know!\Oh, no wonder you couldn't find them. response:	They're all locked up in the storehouse.
context: I bet it would at least give me a hint.\Huh? Photos?\Yeah, we should still have some.\What?!\Where the hell have they been all this time?!\I've turned this house upside-down numerous times looking for them, you know!\Oh, no wonder you couldn't find them.\They're all locked up in the storehouse. response:	You're talking about the photos from that trip we took ten years ago, right?
context: Huh? Photos?\Yeah, we should still have some.\What?!\Where the hell have they been all this time?!\I've turned this house upside-down numerous times looking for them, you know!\Oh, no wonder you couldn't find them.\They're all locked up in the storehouse.\You're talking about the photos from that trip we took ten years ago, right? response:	If I recall correctly, we didn't have a lot of photos from those days,
context: Yeah, we should still have some.\What?!\Where the hell have they been all this time?!\I've turned this house upside-down numerous times looking for them, you know!\Oh, no wonder you couldn't find them.\They're all locked up in the storehouse.\You're talking about the photos from that trip we took ten years ago, right?\If I recall correctly, we didn't have a lot of photos from those days, response:	but there should be just one left at the back of the storehouse.
