context: Everyone's having a great time! response:	Chocolate
context: Everyone's having a great time!\Chocolate response:	It's Valentine's Day, after all.
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all. response:	I'm gonna do my best, too!
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too! response:	It's so expensive!
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive! response:	Everything is more expensive than yesterday.
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday. response:	I guess everyone's thinking the same thing.
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing. response:	Oh, Serara...
context: Everyone's having a great time!\Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara... response:	Nyanta!
context: Chocolate\It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta! response:	Is something wrong?
context: It's Valentine's Day, after all.\I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta!\Is something wrong? response:	No... Um...
context: I'm gonna do my best, too!\It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta!\Is something wrong?\No... Um... response:	Oh, coconia fruit, is it?
context: It's so expensive!\Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta!\Is something wrong?\No... Um...\Oh, coconia fruit, is it? response:	It's a southern fruit used to make all kinds of things,
context: Everything is more expensive than yesterday.\I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta!\Is something wrong?\No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things, response:	like sweets and drinks.
context: I guess everyone's thinking the same thing.\Oh, Serara...\Nyanta!\Is something wrong?\No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks. response:	Oh, really?
context: Oh, Serara...\Nyanta!\Is something wrong?\No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really? response:	I knew that, though.
context: Nyanta!\Is something wrong?\No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really?\I knew that, though. response:	And People of the Land have a legend about them.
context: Is something wrong?\No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really?\I knew that, though.\And People of the Land have a legend about them. response:	If you get the one you love to eat them
context: No... Um...\Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really?\I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them response:	on February 14, your love will be returned.
context: Oh, coconia fruit, is it?\It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really?\I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned. response:	Come to think of it, in the old world, today was Valentine's Day.
context: It's a southern fruit used to make all kinds of things,\like sweets and drinks.\Oh, really?\I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day. response:	Th-That's right.
context: like sweets and drinks.\Oh, really?\I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right. response:	Anyway, um, I have things to do!
context: Oh, really?\I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do! response:	Meow...
context: I knew that, though.\And People of the Land have a legend about them.\If you get the one you love to eat them\on February 14, your love will be returned.\Come to think of it, in the old world, today was Valentine's Day.\Th-That's right.\Anyway, um, I have things to do!\Meow... response:	2.14 A Sweet Trap
