context: It's time for the ever-popular segment... response:	Let's start with the first postcard.
context: It's time for the ever-popular segment...\Let's start with the first postcard. response:	What is Grimoire Heart after?
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after? response:	We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail. response:	Next postcard.
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard. response:	What's Gray-san's type?
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type? response:	P.S. I'd rather have more Gray-san and less Hikaru.
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru. response:	B-But, this is my segment!
context: It's time for the ever-popular segment...\Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment! response:	What? That's it?
context: Let's start with the first postcard.\What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it? response:	Enough of that!
context: What is Grimoire Heart after?\We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it?\Enough of that! response:	In the last episode, Lucy figured out the location of Master Mavis's grave,
context: We've been ordered to capture Lord Zeref and to wipe out Fairy Tail.\Next postcard.\What's Gray-san's type?\P.S. I'd rather have more Gray-san and less Hikaru.\B-But, this is my segment!\What? That's it?\Enough of that!\In the last episode, Lucy figured out the location of Master Mavis's grave, response:	but Cana put her to sleep for some reason.
