context: Give it to me! response:	All...
context: Give it to me!\All... response:	Yes!
context: Give it to me!\All...\Yes! response:	Well done!
context: Give it to me!\All...\Yes!\Well done! response:	That was no ordinary prefectural qualifier match.
context: Give it to me!\All...\Yes!\Well done!\That was no ordinary prefectural qualifier match. response:	I got goosebumps.
context: Give it to me!\All...\Yes!\Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps. response:	All right! Let's do our greetings.
context: Give it to me!\All...\Yes!\Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings. response:	Right!
context: Give it to me!\All...\Yes!\Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings.\Right! response:	Now we're at one loss, one win.
context: All...\Yes!\Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings.\Right!\Now we're at one loss, one win. response:	Don't get on your high horse.
context: Yes!\Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings.\Right!\Now we're at one loss, one win.\Don't get on your high horse. response:	I won't.
context: Well done!\That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings.\Right!\Now we're at one loss, one win.\Don't get on your high horse.\I won't. response:	Haikyu!!
context: That was no ordinary prefectural qualifier match.\I got goosebumps.\All right! Let's do our greetings.\Right!\Now we're at one loss, one win.\Don't get on your high horse.\I won't.\Haikyu!! response:	Episode 25: Declaration of War
context: I got goosebumps.\All right! Let's do our greetings.\Right!\Now we're at one loss, one win.\Don't get on your high horse.\I won't.\Haikyu!!\Episode 25: Declaration of War response:	Thank you very much!
context: All right! Let's do our greetings.\Right!\Now we're at one loss, one win.\Don't get on your high horse.\I won't.\Haikyu!!\Episode 25: Declaration of War\Thank you very much! response:	We did it, Sensei.
context: Right!\Now we're at one loss, one win.\Don't get on your high horse.\I won't.\Haikyu!!\Episode 25: Declaration of War\Thank you very much!\We did it, Sensei. response:	Yes.
context: Now we're at one loss, one win.\Don't get on your high horse.\I won't.\Haikyu!!\Episode 25: Declaration of War\Thank you very much!\We did it, Sensei.\Yes. response:	It...
context: Don't get on your high horse.\I won't.\Haikyu!!\Episode 25: Declaration of War\Thank you very much!\We did it, Sensei.\Yes.\It... response:	looked like he was actually able to predict where Hinata was going to hit.
context: I won't.\Haikyu!!\Episode 25: Declaration of War\Thank you very much!\We did it, Sensei.\Yes.\It...\looked like he was actually able to predict where Hinata was going to hit. response:	If it wasn't caught by the block, changing the course,
context: Haikyu!!\Episode 25: Declaration of War\Thank you very much!\We did it, Sensei.\Yes.\It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course, response:	That was a very heartwarming match.
context: Episode 25: Declaration of War\Thank you very much!\We did it, Sensei.\Yes.\It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match. response:	he might have picked it up.
context: Thank you very much!\We did it, Sensei.\Yes.\It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up. response:	Karasuno Aoba Johsai
context: We did it, Sensei.\Yes.\It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai response:	Say what you will, but the results are what you see.
context: Yes.\It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see. response:	There's no way your disappointment will subside.
context: It...\looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside. response:	I'm sure there are even some plays you regret.
context: looked like he was actually able to predict where Hinata was going to hit.\If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret. response:	You fought well.
context: If it wasn't caught by the block, changing the course,\That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well. response:	Let's go greet the people in the stands.
context: That was a very heartwarming match.\he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands. response:	How can I be the ace when I couldn't even make that?!
context: he might have picked it up.\Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?! response:	Thank you very much!
context: Karasuno Aoba Johsai\Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much! response:	Rule the Court
context: Say what you will, but the results are what you see.\There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court response:	Thank you very much!
context: There's no way your disappointment will subside.\I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court\Thank you very much! response:	Hey, hurry up!
context: I'm sure there are even some plays you regret.\You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court\Thank you very much!\Hey, hurry up! response:	Yeah!
context: You fought well.\Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court\Thank you very much!\Hey, hurry up!\Yeah! response:	We fell over!
context: Let's go greet the people in the stands.\How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court\Thank you very much!\Hey, hurry up!\Yeah!\We fell over! response:	You're way too worked up!
context: How can I be the ace when I couldn't even make that?!\Thank you very much!\Rule the Court\Thank you very much!\Hey, hurry up!\Yeah!\We fell over!\You're way too worked up! response:	Hinata, you dumbass!
context: Thank you very much!\Rule the Court\Thank you very much!\Hey, hurry up!\Yeah!\We fell over!\You're way too worked up!\Hinata, you dumbass! response:	Don't ever forget this sight.
