context: Gravity wave interferometer has detected a strong fluctuation. response:	It's beginning.
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning. response:	The space-time merger...
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger... response:	All of Aura's energy must be getting funneled into
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into response:	the space-time merger, such that no one can use Mana.
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana. response:	We have estimated the space-time merger perimeter
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter response:	distribution based on lepton radiation intensities.
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities. response:	What is the estimated epicenter of the space-time merger?
context: Gravity wave interferometer has detected a strong fluctuation.\It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger? response:	The Dawn Pillar, in the Misurugi region.
context: It's beginning.\The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region. response:	When the two Earths combine, everything will be destroyed.
context: The space-time merger...\All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed. response:	All will die.
context: All of Aura's energy must be getting funneled into\the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die. response:	We must take back Aura, no matter the cost, before that happens.
context: the space-time merger, such that no one can use Mana.\We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens. response:	Hilda.
context: We have estimated the space-time merger perimeter\distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda. response:	Are you still waiting for Ange?
context: distribution based on lepton radiation intensities.\What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange? response:	Of course not.
context: What is the estimated epicenter of the space-time merger?\The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange?\Of course not. response:	There won't be a world to wreck if the Earth is gone.
context: The Dawn Pillar, in the Misurugi region.\When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone. response:	Let's go, Dragon Princess.
context: When the two Earths combine, everything will be destroyed.\All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess. response:	We're going to be your allies.
context: All will die.\We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies. response:	Aurora, full speed ahead.
context: We must take back Aura, no matter the cost, before that happens.\Hilda.\Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead. response:	Our target is the Dawn Pillar.
context: Hilda.\Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar. response:	Incoming communication.
context: Are you still waiting for Ange?\Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication. response:	Switching to speakers.
context: Of course not.\There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers. response:	Aurora? Can you hear?
context: There won't be a world to wreck if the Earth is gone.\Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers.\Aurora? Can you hear? response:	Ange here.
context: Let's go, Dragon Princess.\We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers.\Aurora? Can you hear?\Ange here. response:	I'm returning now.
context: We're going to be your allies.\Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers.\Aurora? Can you hear?\Ange here.\I'm returning now. response:	Aurora, respond.
context: Aurora, full speed ahead.\Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers.\Aurora? Can you hear?\Ange here.\I'm returning now.\Aurora, respond. response:	The Warped World
context: Our target is the Dawn Pillar.\Incoming communication.\Switching to speakers.\Aurora? Can you hear?\Ange here.\I'm returning now.\Aurora, respond.\The Warped World response:	Ange!
context: Incoming communication.\Switching to speakers.\Aurora? Can you hear?\Ange here.\I'm returning now.\Aurora, respond.\The Warped World\Ange! response:	I'm home, everyone.
context: Switching to speakers.\Aurora? Can you hear?\Ange here.\I'm returning now.\Aurora, respond.\The Warped World\Ange!\I'm home, everyone. response:	Dammit! Where the hell were you?!
context: Aurora? Can you hear?\Ange here.\I'm returning now.\Aurora, respond.\The Warped World\Ange!\I'm home, everyone.\Dammit! Where the hell were you?! response:	Isn't this Vanessa's machine?
context: Ange here.\I'm returning now.\Aurora, respond.\The Warped World\Ange!\I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine? response:	Yeah. Mom's Arquebus.
context: I'm returning now.\Aurora, respond.\The Warped World\Ange!\I'm home, everyone.\Dammit! Where the hell were you?!\Isn't this Vanessa's machine?\Yeah. Mom's Arquebus. response:	So it can still fly.
