context: Onii-chan! response:	Come on, how long are you going to stay in bed?
context: Onii-chan!\Come on, how long are you going to stay in bed? response:	It's morning already.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already. response:	Breakfast will get cold if you don't get up.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up. response:	I made it for you and everything.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything. response:	Take off your shirt, I'll put it in the wash.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash. response:	You're a fake.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake. response:	You see, my sister would never wake me up or cook breakfast or do my laundry.
context: Onii-chan!\Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry. response:	In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!
context: Come on, how long are you going to stay in bed?\It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me! response:	She doesn't listen to a word I say!
context: It's morning already.\Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say! response:	There's no way she'd come into my room like this to wake me up!
context: Breakfast will get cold if you don't get up.\I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up! response:	Onii-chan?
context: I made it for you and everything.\Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan? response:	Basically, what I'm trying to say is...
context: Take off your shirt, I'll put it in the wash.\You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is... response:	There's no way my sister can be this cu
context: You're a fake.\You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu response:	Alright, here's yours.
context: You see, my sister would never wake me up or cook breakfast or do my laundry.\In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours. response:	Where's Kirino?
context: In fact, she completely looks down on me and treats me like an idiot, or outright ignores me!\She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino? response:	She left already.
context: She doesn't listen to a word I say!\There's no way she'd come into my room like this to wake me up!\Onii-chan?\Basically, what I'm trying to say is...\There's no way my sister can be this cu\Alright, here's yours.\Where's Kirino?\She left already. response:	She has morning practice today.
