context: Weve fought under gravity several times now, remember? response:	You judge a man by his looks”!
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”! response:	Randy, youre the one who always says that!
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that! response:	Sorry to interrupt your meal!
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal! response:	Youve been ordered to sortie!
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie! response:	The Wulgaru army has broken past our absolute defense zone!
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone! response:	Defensive Battle at Cosmopolitan Academy (First Part)”
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)” response:	Delish! Ashagi, ish dis your weal calling in life?
context: Weve fought under gravity several times now, remember?\You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life? response:	Why are you eating?
context: You judge a man by his looks”!\Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating? response:	The operation has already started!
context: Randy, youre the one who always says that!\Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started! response:	Im bored stiff after all of this waiting.
context: Sorry to interrupt your meal!\Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting. response:	Hey, Izuru! How was your date with Teoria?
context: Youve been ordered to sortie!\The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria? response:	How,” huh? Everyone saw how it went down, right?
context: The Wulgaru army has broken past our absolute defense zone!\Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right? response:	We only got to talk for a bit before I was summoned.
context: Defensive Battle at Cosmopolitan Academy (First Part)”\Delish! Ashagi, ish dis your weal calling in life?\Why are you eating?\The operation has already started!\Im bored stiff after all of this waiting.\Hey, Izuru! How was your date with Teoria?\How,” huh? Everyone saw how it went down, right?\We only got to talk for a bit before I was summoned. response:	But-but a date is still a date!
