context: Times have changed response:	The earth is crumbling
context: Times have changed\The earth is crumbling response:	Humans excessively breach the night
context: Times have changed\The earth is crumbling\Humans excessively breach the night response:	The monsters are getting more resentful
context: Times have changed\The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful response:	A disaster could happen anytime
context: Times have changed\The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime response:	Yes
context: Times have changed\The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime\Yes response:	It really is tougth
context: Times have changed\The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime\Yes\It really is tougth response:	Fortunately, the successors of the three great academies are maturing
context: Times have changed\The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime\Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing response:	hehe
context: The earth is crumbling\Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime\Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe response:	Without the help of the original censorates
context: Humans excessively breach the night\The monsters are getting more resentful\A disaster could happen anytime\Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates response:	Do you think these newbies can hold them off?
context: The monsters are getting more resentful\A disaster could happen anytime\Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates\Do you think these newbies can hold them off? response:	hehe
context: A disaster could happen anytime\Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates\Do you think these newbies can hold them off?\hehe response:	A new generation should come with new hope
context: Yes\It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates\Do you think these newbies can hold them off?\hehe\A new generation should come with new hope response:	I can see it
context: It really is tougth\Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates\Do you think these newbies can hold them off?\hehe\A new generation should come with new hope\I can see it response:	Menpai Middle School's new nightwatcher has already revealed himself
context: Fortunately, the successors of the three great academies are maturing\hehe\Without the help of the original censorates\Do you think these newbies can hold them off?\hehe\A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself response:	You've got guts
context: hehe\Without the help of the original censorates\Do you think these newbies can hold them off?\hehe\A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts response:	This is our turf, how dare you stroll in broad daylight with a weapon in hand.
context: Without the help of the original censorates\Do you think these newbies can hold them off?\hehe\A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand. response:	Get out
context: Do you think these newbies can hold them off?\hehe\A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out response:	Or I'll show you the strength of the strongest law enforcers in the galaxy
context: hehe\A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy response:	Sirs
context: A new generation should come with new hope\I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy\Sirs response:	Big bro said to come here to beat someone up
context: I can see it\Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy\Sirs\Big bro said to come here to beat someone up response:	I suggest you go patrol somewhere else
context: Menpai Middle School's new nightwatcher has already revealed himself\You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy\Sirs\Big bro said to come here to beat someone up\I suggest you go patrol somewhere else response:	What a joke
context: You've got guts\This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy\Sirs\Big bro said to come here to beat someone up\I suggest you go patrol somewhere else\What a joke response:	This little scat thinks he's a gangster
context: This is our turf, how dare you stroll in broad daylight with a weapon in hand.\Get out\Or I'll show you the strength of the strongest law enforcers in the galaxy\Sirs\Big bro said to come here to beat someone up\I suggest you go patrol somewhere else\What a joke\This little scat thinks he's a gangster response:	If any gangster dares come here
