context: Hey! Kirie! response:	The hell? Where did she run off to?
context: Hey! Kirie!\The hell? Where did she run off to? response:	Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday. response:	Maybe I'll just go to Taihei's place...
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place... response:	These custard cakes sure are yummy!
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy! response:	Yes! And there are still plenty more left!
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left! response:	Thank you, Kirie.
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie. response:	No, I don't know why, but these were just lying around the house. So please, go ahead.
context: Hey! Kirie!\The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead. response:	Huh? She didn't know why?
context: The hell? Where did she run off to?\Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why? response:	Oh! That's incredible, Master!
context: Well, whatever. I've got nothing to do, and I'm broke after going shopping yesterday.\Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master! response:	Hey, hey! Bada-bing, bada-boom!
context: Maybe I'll just go to Taihei's place...\These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom! response:	That's just rude!
context: These custard cakes sure are yummy!\Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude! response:	Huh? Who's that?
context: Yes! And there are still plenty more left!\Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that? response:	Coming!
context: Thank you, Kirie.\No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that?\Coming! response:	Dude, it's REALLY cold out here. Hurry up and let me in!
context: No, I don't know why, but these were just lying around the house. So please, go ahead.\Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in! response:	Huh?
context: Huh? She didn't know why?\Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh? response:	Ah! Kirie!
context: Oh! That's incredible, Master!\Hey, hey! Bada-bing, bada-boom!\That's just rude!\Huh? Who's that?\Coming!\Dude, it's REALLY cold out here. Hurry up and let me in!\Huh?\Ah! Kirie! response:	Hey! Those are the custard cakes I bought yesterday!
