context: Once upon a time, there was a maiden in love. response:	I want to tell my beloved how I feel, but my love might be over the moment I say it.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it. response:	Every day she suffered, agonizing in this way.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way. response:	She took no meals, and she was unable even to sleep.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep. response:	And finally, she died without ever having been able to communicate her feelings.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings. response:	But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed. response:	Quack?
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack? response:	Oh, I fell asleep while I was still a duck.
context: Once upon a time, there was a maiden in love.\I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck. response:	In Fakir's arms...
context: I want to tell my beloved how I feel, but my love might be over the moment I say it.\Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms... response:	I wonder if Fakir bandaged this for me.
context: Every day she suffered, agonizing in this way.\She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me. response:	Quack!
context: She took no meals, and she was unable even to sleep.\And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack! response:	Quack...
context: And finally, she died without ever having been able to communicate her feelings.\But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack!\Quack... response:	Quack?
context: But the man she loved married another woman and lived happily ever after, without ever even knowing the maiden had existed.\Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack!\Quack...\Quack? response:	They're stopped?
context: Quack?\Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack!\Quack...\Quack?\They're stopped? response:	Congratulations, Little Duck.
context: Oh, I fell asleep while I was still a duck.\In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack!\Quack...\Quack?\They're stopped?\Congratulations, Little Duck. response:	Quack.
context: In Fakir's arms...\I wonder if Fakir bandaged this for me.\Quack!\Quack...\Quack?\They're stopped?\Congratulations, Little Duck.\Quack. response:	The prince's pride has returned to him.
context: I wonder if Fakir bandaged this for me.\Quack!\Quack...\Quack?\They're stopped?\Congratulations, Little Duck.\Quack.\The prince's pride has returned to him. response:	Oof...
context: Quack!\Quack...\Quack?\They're stopped?\Congratulations, Little Duck.\Quack.\The prince's pride has returned to him.\Oof... response:	Qua-qua-qua-qua-quack!
context: Quack...\Quack?\They're stopped?\Congratulations, Little Duck.\Quack.\The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack! response:	Now all the shards of the prince's heart have returned to him!
context: Quack?\They're stopped?\Congratulations, Little Duck.\Quack.\The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him! response:	What? Really?
context: They're stopped?\Congratulations, Little Duck.\Quack.\The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really? response:	So right now, he's...
context: Congratulations, Little Duck.\Quack.\The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's... response:	That's right, he must be suffering right about now.
context: Quack.\The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's...\That's right, he must be suffering right about now. response:	What?
context: The prince's pride has returned to him.\Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's...\That's right, he must be suffering right about now.\What? response:	Because he doesn't have ALL of the heart shards yet.
context: Oof...\Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's...\That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet. response:	What? But you just said they'd all returned...
context: Qua-qua-qua-qua-quack!\Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's...\That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned... response:	Drosselmeyer-san?!
context: Now all the shards of the prince's heart have returned to him!\What? Really?\So right now, he's...\That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?! response:	The shards that were hidden inside chinks in other people's hearts have all been returned now!
context: What? Really?\So right now, he's...\That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now! response:	But those aren't ALL the shards.
context: So right now, he's...\That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards. response:	What? Really?
context: That's right, he must be suffering right about now.\What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really? response:	Of course. His heart has to keep the raven from moving, after all.
context: What?\Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all. response:	That IS why it was shattered.
context: Because he doesn't have ALL of the heart shards yet.\What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered. response:	Then...
context: What? But you just said they'd all returned...\Drosselmeyer-san?!\The shards that were hidden inside chinks in other people's hearts have all been returned now!\But those aren't ALL the shards.\What? Really?\Of course. His heart has to keep the raven from moving, after all.\That IS why it was shattered.\Then... response:	Oh, dear, I don't have time for this!
