context: The walls gave the people a century of peace and security. response:	The terror of being at their mercy
context: The walls gave the people a century of peace and security.\The terror of being at their mercy response:	and the humiliation of being trapped became a distant memory.
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory. response:	Until...
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until... response:	The battle for humanity's survival
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival response:	began the moment the Titans breached the wall.
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival\began the moment the Titans breached the wall. response:	After innumerable casualties among soldiers and civilians alike,
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike, response:	it was learned that some Titans were hiding among the humans.
context: The walls gave the people a century of peace and security.\The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans. response:	Finally, five years after the first wall fell,
context: The terror of being at their mercy\and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell, response:	humans succeeded in capturing one of these disguised Titans: Annie Leonhart.
context: and the humiliation of being trapped became a distant memory.\Until...\The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart. response:	Nevertheless...
context: Until...\The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless... response:	Hey!
context: The battle for humanity's survival\began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey! response:	Look!
context: began the moment the Titans breached the wall.\After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey!\Look! response:	A Titan?!
context: After innumerable casualties among soldiers and civilians alike,\it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey!\Look!\A Titan?! response:	In the wall?!
context: it was learned that some Titans were hiding among the humans.\Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey!\Look!\A Titan?!\In the wall?! response:	It can't be!
context: Finally, five years after the first wall fell,\humans succeeded in capturing one of these disguised Titans: Annie Leonhart.\Nevertheless...\Hey!\Look!\A Titan?!\In the wall?!\It can't be! response:	Your orders, Section Commander?
