context: We're goin' fishin'! response:	I'm not happy with this, Handa-kun.
context: We're goin' fishin'!\I'm not happy with this, Handa-kun. response:	With what?
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what? response:	I took off five whole days to come to this island,
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island, response:	but all I've gotten to do is look for your house,
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house, response:	then suffer a hangover after a bunch of strange old guys got me drunk.
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk. response:	I want my vacation back.
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back. response:	You brought it on yourself.
context: We're goin' fishin'!\I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself. response:	We're fishin''cuz you said you wanted to make the most of yer last day here.
context: I'm not happy with this, Handa-kun.\With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here. response:	Listen, middle schooler...
context: With what?\I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler... response:	By make the most of,
context: I took off five whole days to come to this island,\but all I've gotten to do is look for your house,\then suffer a hangover after a bunch of strange old guys got me drunk.\I want my vacation back.\You brought it on yourself.\We're fishin''cuz you said you wanted to make the most of yer last day here.\Listen, middle schooler...\By make the most of, response:	I meant going sightseeing. Get it?
