context: Year - Class Year 3 Class 2 Name Mashiro Moritaka response:	73kg
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg response:	I was sure you'd come back for this.
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this. response:	So, I was waiting for you.
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this.\So, I was waiting for you. response:	What the hell is he planning?
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning? response:	Work with me and become a mangaka.
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka. response:	II'm going to be drawing the art, and he's doing the stories.
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories. response:	I knew it!
context: Year - Class Year 3 Class 2 Name Mashiro Moritaka\73kg\I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it! response:	Wow! Then I'm sure you'll make it!
context: 73kg\I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it! response:	S-So if our manga gets turned into an anime,
context: I was sure you'd come back for this.\So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime, response:	we'll reserve the role of heroine for you or something...
context: So, I was waiting for you.\What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something... response:	Really?
context: What the hell is he planning?\Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really? response:	I'm so happy!
context: Work with me and become a mangaka.\II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really?\I'm so happy! response:	I'll work hard.
context: II'm going to be drawing the art, and he's doing the stories.\I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really?\I'm so happy!\I'll work hard. response:	I'll become a seiyuu and appear on your anime.
context: I knew it!\Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really?\I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime. response:	Note: A Seiyuu is a Japanese voice actor.
context: Wow! Then I'm sure you'll make it!\S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really?\I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor. response:	How great!
context: S-So if our manga gets turned into an anime,\we'll reserve the role of heroine for you or something...\Really?\I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great! response:	So if that dream comes true, please marry me!
context: we'll reserve the role of heroine for you or something...\Really?\I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me! response:	I couldn't sleep a wink.
context: Really?\I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink. response:	Translator TLc
context: I'm so happy!\I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc response:	kewl0210 Chrno
context: I'll work hard.\I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno response:	Timing Edit
context: I'll become a seiyuu and appear on your anime.\Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno\Timing Edit response:	GeRi, Leet_Garaa bobo343
context: Note: A Seiyuu is a Japanese voice actor.\How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343 response:	Typesetting Karaoke
context: How great!\So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke response:	scol, Kme Jecht, Kme
context: So if that dream comes true, please marry me!\I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme response:	QC
context: I couldn't sleep a wink.\Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme\QC response:	Alais Echo_Chidori Mistral
context: Translator TLc\kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral response:	Encode
context: kewl0210 Chrno\Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral\Encode response:	darkphoenix
context: Timing Edit\GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral\Encode\darkphoenix response:	Stupidity and Intelligence
context: GeRi, Leet_Garaa bobo343\Typesetting Karaoke\scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral\Encode\darkphoenix\Stupidity and Intelligence response:	How long do you plan on staying in your pajamas?
context: Typesetting Karaoke\scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral\Encode\darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas? response:	Please hurry up and get ready.
context: scol, Kme Jecht, Kme\QC\Alais Echo_Chidori Mistral\Encode\darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready. response:	Got it.
context: QC\Alais Echo_Chidori Mistral\Encode\darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it. response:	Honestly, can't you be polite and say Yes, Mom.?
context: Alais Echo_Chidori Mistral\Encode\darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.? response:	So if that dream comes true, please marry me!
context: Encode\darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me! response:	KING OF
context: darkphoenix\Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF response:	MANGA
context: Stupidity and Intelligence\How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF\MANGA response:	Anyone Can Draw
context: How long do you plan on staying in your pajamas?\Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF\MANGA\Anyone Can Draw response:	Introductory Level
context: Please hurry up and get ready.\Got it.\Honestly, can't you be polite and say Yes, Mom.?\So if that dream comes true, please marry me!\KING OF\MANGA\Anyone Can Draw\Introductory Level response:	Mako-chan and Rabi-Kun's Drawing Course
