context: Once upon a time, there was a girl who loved to dance very much. response:	The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on. response:	The girl continued to dance day and night...
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night... response:	Oh my. This is a different story.
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story. response:	But...
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story.\But... response:	Perhaps it is not entirely different after all.
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story.\But...\Perhaps it is not entirely different after all. response:	I want to know what you think of me.
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story.\But...\Perhaps it is not entirely different after all.\I want to know what you think of me. response:	I'm a duck.
context: Once upon a time, there was a girl who loved to dance very much.\The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story.\But...\Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck. response:	I'm really only a bird.
context: The girl made the mistake of putting on a pair of red shoes that would force her to dance for eternity once they were on.\The girl continued to dance day and night...\Oh my. This is a different story.\But...\Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck.\I'm really only a bird. response:	But what the prince sees is Princess Tutu in her beautiful dress.
context: The girl continued to dance day and night...\Oh my. This is a different story.\But...\Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress. response:	It's not me.
context: Oh my. This is a different story.\But...\Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me. response:	What... did I... just...
context: But...\Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just... response:	The Black Shoes
context: Perhaps it is not entirely different after all.\I want to know what you think of me.\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just...\The Black Shoes response:	There are some things that just don't change after a night's sleep.
context: I want to know what you think of me.\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\What... did I... just...\The Black Shoes\There are some things that just don't change after a night's sleep. response:	Rue-chan and Mytho are still perfect for each other.
