context: Hm? response:	Hmm?
context: Hm?\Hmm? response:	Ah...
context: Hm?\Hmm?\Ah... response:	What are you talking about?
context: Hm?\Hmm?\Ah...\What are you talking about? response:	Everyone's happy with your cooking.
context: Hm?\Hmm?\Ah...\What are you talking about?\Everyone's happy with your cooking. response:	Okay.
context: Hm?\Hmm?\Ah...\What are you talking about?\Everyone's happy with your cooking.\Okay. response:	Just right.
context: Hm?\Hmm?\Ah...\What are you talking about?\Everyone's happy with your cooking.\Okay.\Just right. response:	How does a wall just break?
context: Hm?\Hmm?\Ah...\What are you talking about?\Everyone's happy with your cooking.\Okay.\Just right.\How does a wall just break? response:	How the heck am I supposed to know?
context: Hmm?\Ah...\What are you talking about?\Everyone's happy with your cooking.\Okay.\Just right.\How does a wall just break?\How the heck am I supposed to know? response:	You were trying to, and that's a crime! I'll call the police!
context: Ah...\What are you talking about?\Everyone's happy with your cooking.\Okay.\Just right.\How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police! response:	How do you know we brought our towels?
context: What are you talking about?\Everyone's happy with your cooking.\Okay.\Just right.\How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels? response:	Tell the truth. I won't get mad if you say it now.
context: Everyone's happy with your cooking.\Okay.\Just right.\How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now. response:	So what's the plan?
context: Okay.\Just right.\How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan? response:	What plan?
context: Just right.\How does a wall just break?\How the heck am I supposed to know?\You were trying to, and that's a crime! I'll call the police!\How do you know we brought our towels?\Tell the truth. I won't get mad if you say it now.\So what's the plan?\What plan? response:	Ah...
