context: Wiped out, huh? response:	But considering the tactic he used, I'm sure that Kanoichi-kun thought
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought response:	there was a chance this would succeed.
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed. response:	What? Isn't that a bit much to ask?
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask? response:	Not to mention that he did tell Miyako-kun not to show up.
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up. response:	Nerima
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima response:	We're not obligated to lend Miyako-kun out to you,
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you, response:	nor clean up the mess that you guys made.
context: Wiped out, huh?\But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made. response:	I understand how dangerous it is, but our hands our tied.
context: But considering the tactic he used, I'm sure that Kanoichi-kun thought\there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied. response:	I mean...
context: there was a chance this would succeed.\What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean... response:	If we were to get jurisdiction over the case,
context: What? Isn't that a bit much to ask?\Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case, response:	then we may be able to do something...
context: Not to mention that he did tell Miyako-kun not to show up.\Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case,\then we may be able to do something... response:	Goodbye.
context: Nerima\We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye. response:	Emergency Line 0
context: We're not obligated to lend Miyako-kun out to you,\nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye.\Emergency Line 0 response:	Incoming Call
context: nor clean up the mess that you guys made.\I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye.\Emergency Line 0\Incoming Call response:	Decline the call and send a message
context: I understand how dangerous it is, but our hands our tied.\I mean...\If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye.\Emergency Line 0\Incoming Call\Decline the call and send a message response:	Send to voicemail
context: I mean...\If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye.\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail response:	Everyone dealing with the cocoons was wiped out?
context: If we were to get jurisdiction over the case,\then we may be able to do something...\Goodbye.\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out? response:	What's going on?
context: then we may be able to do something...\Goodbye.\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on? response:	She's mad, she's super mad!
context: Goodbye.\Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad! response:	Manari-sama is mad!
context: Emergency Line 0\Incoming Call\Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad!\Manari-sama is mad! response:	Ow!
context: Incoming Call\Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad!\Manari-sama is mad!\Ow! response:	We can't make offerings!
context: Decline the call and send a message\Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad!\Manari-sama is mad!\Ow!\We can't make offerings! response:	The Silkworm Princess is really angry!
context: Send to voicemail\Everyone dealing with the cocoons was wiped out?\What's going on?\She's mad, she's super mad!\Manari-sama is mad!\Ow!\We can't make offerings!\The Silkworm Princess is really angry! response:	Now none of us can live here anymore!
