context: There you go, making that face again, response:	biting onto your lips.
context: There you go, making that face again,\biting onto your lips. response:	You're hiding your weak side,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side, response:	but deep in those eyes,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes, response:	I can see you cowering.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering. response:	If you had a true heart,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart, response:	you would care, cry, call for someone and worry.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry. response:	Why are you holding onto the pain?
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain? response:	Share some of it with me.
context: biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me. response:	If you don't think it's possible right away,
context: You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away, response:	you can do it slowly, bit by bit.
context: but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit. response:	We don't have wings,
context: I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings, response:	but I'm sure we're only finding times that we can't fly.
context: If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly. response:	I'll call for you to the limits of my voice
context: you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice response:	so that you won't get lost.
context: Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost. response:	Soar up to the sky with your gentle heart,
context: Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart, response:	ride on that wind, and get it all at once.
context: If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once. response:	The human hat is still here.
context: you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here. response:	It's all white and pretty, like snow.
context: We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow. response:	No one will pick you up?
context: but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up? response:	Want to come home with me?
context: I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me? response:	It's so pretty.
context: so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me?\It's so pretty. response:	I'm going to show mom.
context: Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me?\It's so pretty.\I'm going to show mom. response:	Mom...
context: ride on that wind, and get it all at once.\The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me?\It's so pretty.\I'm going to show mom.\Mom... response:	No, I can't be crying when I'm going to become a man!
context: The human hat is still here.\It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me?\It's so pretty.\I'm going to show mom.\Mom...\No, I can't be crying when I'm going to become a man! response:	From now on, I have to live on my own!
context: It's all white and pretty, like snow.\No one will pick you up?\Want to come home with me?\It's so pretty.\I'm going to show mom.\Mom...\No, I can't be crying when I'm going to become a man!\From now on, I have to live on my own! response:	I'm going now, Touko-san.
context: No one will pick you up?\Want to come home with me?\It's so pretty.\I'm going to show mom.\Mom...\No, I can't be crying when I'm going to become a man!\From now on, I have to live on my own!\I'm going now, Touko-san. response:	Take care and have fun.
