context: Th-This is Akihabara? response:	Are you frightened?
context: Th-This is Akihabara?\Are you frightened? response:	Of course not.
context: Th-This is Akihabara?\Are you frightened?\Of course not. response:	Coming here was your idea,
context: Th-This is Akihabara?\Are you frightened?\Of course not.\Coming here was your idea, response:	so I suppose that is only natural.
context: Th-This is Akihabara?\Are you frightened?\Of course not.\Coming here was your idea,\so I suppose that is only natural. response:	Princess, I must return to my guild for a time.
context: Th-This is Akihabara?\Are you frightened?\Of course not.\Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time. response:	They will accompany you until I return.
context: Th-This is Akihabara?\Are you frightened?\Of course not.\Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return. response:	We haven't introduced ourselves, have we?
context: Th-This is Akihabara?\Are you frightened?\Of course not.\Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we? response:	I am Shiroe, of Log Horizon.
context: Are you frightened?\Of course not.\Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon. response:	This is Akatsuki.
context: Of course not.\Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki. response:	P-Pleased to meet you.
context: Coming here was your idea,\so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you. response:	Um, so... Where do I start?
context: so I suppose that is only natural.\Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start? response:	For starters, here in the street is not the place. Shall we go?
context: Princess, I must return to my guild for a time.\They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go? response:	They left me in charge here, but there isn't anything interesting to do now.
context: They will accompany you until I return.\We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now. response:	Both Shiroe and the princess are gone.
context: We haven't introduced ourselves, have we?\I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone. response:	And I was only a blacksmith to begin with...
context: I am Shiroe, of Log Horizon.\This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with... response:	Now, what to do?
context: This is Akatsuki.\P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do? response:	Sir Soujirou, this custard is delicious.
context: P-Pleased to meet you.\Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious. response:	Thank you.
context: Um, so... Where do I start?\For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you. response:	Hey, no fair! Listen to me, too.
context: For starters, here in the street is not the place. Shall we go?\They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too. response:	Um...
context: They left me in charge here, but there isn't anything interesting to do now.\Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too.\Um... response:	Sir Soujirou is tired.
context: Both Shiroe and the princess are gone.\And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired. response:	Then I'll sing him a lullaby.
context: And I was only a blacksmith to begin with...\Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby. response:	No, I will!
context: Now, what to do?\Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will! response:	This is part of the job. This is part of the job!
context: Sir Soujirou, this custard is delicious.\Thank you.\Hey, no fair! Listen to me, too.\Um...\Sir Soujirou is tired.\Then I'll sing him a lullaby.\No, I will!\This is part of the job. This is part of the job! response:	All right, everyone...
