context: Hey all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, all right?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right? response:	Previously on Fairy Tail...
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail... response:	Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village! response:	But I beat them!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them! response:	You did?
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did? response:	Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!
context: Hey all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there! response:	They say that's also love!
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love! response:	That's not even close to a recap...
context: and sit back from the screen, all right?\Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap... response:	A forced gate closure? So you are a Fairy Tail wizard...
context: Previously on Fairy Tail...\Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard... response:	The battle starts now!
context: Lyon is planning to resurrect Deliora, and his lackeys came to attack the village!\But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now! response:	But don't forget that I can control any of your spirits at will.
context: But I beat them!\You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will. response:	Let's just see about that.
context: You did?\Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that. response:	I've got lots more powerful spirits where that came from!
context: Now Lucy's fighting with the powerful enemy Sherry, but she's having a really tough time since I'm not there!\They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from! response:	Gate of Canis Minor, I open thee!
context: They say that's also love!\That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee! response:	Nicolas!
context: That's not even close to a recap...\A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas! response:	Oh my, how cute...
context: A forced gate closure? So you are a Fairy Tail wizard...\The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute... response:	That is also love.
context: The battle starts now!\But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute...\That is also love. response:	What the heck does that even mean?!
context: But don't forget that I can control any of your spirits at will.\Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute...\That is also love.\What the heck does that even mean?! response:	Let me show you.
context: Let's just see about that.\I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute...\That is also love.\What the heck does that even mean?!\Let me show you. response:	Doll Attack! Doll Control!
context: I've got lots more powerful spirits where that came from!\Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute...\That is also love.\What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control! response:	Evil
context: Gate of Canis Minor, I open thee!\Nicolas!\Oh my, how cute...\That is also love.\What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control!\Evil response:	Plue?
context: Nicolas!\Oh my, how cute...\That is also love.\What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control!\Evil\Plue? response:	It's not possible!
context: Oh my, how cute...\That is also love.\What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control!\Evil\Plue?\It's not possible! response:	Do What You Must!!
context: That is also love.\What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control!\Evil\Plue?\It's not possible!\Do What You Must!! response:	What the...
context: What the heck does that even mean?!\Let me show you.\Doll Attack! Doll Control!\Evil\Plue?\It's not possible!\Do What You Must!!\What the... response:	You fell for it!
context: Let me show you.\Doll Attack! Doll Control!\Evil\Plue?\It's not possible!\Do What You Must!!\What the...\You fell for it! response:	Damn, it was a small-fry spirit!
context: Doll Attack! Doll Control!\Evil\Plue?\It's not possible!\Do What You Must!!\What the...\You fell for it!\Damn, it was a small-fry spirit! response:	That's right!
context: Evil\Plue?\It's not possible!\Do What You Must!!\What the...\You fell for it!\Damn, it was a small-fry spirit!\That's right! response:	I purposefully called out a weak spirit, so your technique is useless now!
context: Plue?\It's not possible!\Do What You Must!!\What the...\You fell for it!\Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now! response:	Release Control!
context: It's not possible!\Do What You Must!!\What the...\You fell for it!\Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control! response:	Don't worry about it. Go back now, okay?
context: Do What You Must!!\What the...\You fell for it!\Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay? response:	Doll Attack, Rock Doll!
context: What the...\You fell for it!\Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll! response:	We're just going around in circles, aren't we?
context: You fell for it!\Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we? response:	My spirits destroy your dolls, then you take them over, and I close the gate!
context: Damn, it was a small-fry spirit!\That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate! response:	Oh, that's strange...
context: That's right!\I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange... response:	Could that also be love?
context: I purposefully called out a weak spirit, so your technique is useless now!\Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love? response:	Going around in circles? Destroy... this?
context: Release Control!\Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this? response:	These rocks?
context: Don't worry about it. Go back now, okay?\Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this?\These rocks? response:	Wait just a second...
context: Doll Attack, Rock Doll!\We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this?\These rocks?\Wait just a second... response:	Do I have a spirit that could destroy something this big?
context: We're just going around in circles, aren't we?\My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this?\These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big? response:	This is bad, bad, bad, bad!
context: My spirits destroy your dolls, then you take them over, and I close the gate!\Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this?\These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad! response:	Don't let her escape, Rock Doll!
context: Oh, that's strange...\Could that also be love?\Going around in circles? Destroy... this?\These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad!\Don't let her escape, Rock Doll! response:	Catch that little girl!
context: Could that also be love?\Going around in circles? Destroy... this?\These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad!\Don't let her escape, Rock Doll!\Catch that little girl! response:	Who're you callin' a little girl?
context: Going around in circles? Destroy... this?\These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad!\Don't let her escape, Rock Doll!\Catch that little girl!\Who're you callin' a little girl? response:	I look just as old as you do!
context: These rocks?\Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad!\Don't let her escape, Rock Doll!\Catch that little girl!\Who're you callin' a little girl?\I look just as old as you do! response:	Now, now, if you keep blabbing we'll catch up to you!
context: Wait just a second...\Do I have a spirit that could destroy something this big?\This is bad, bad, bad, bad!\Don't let her escape, Rock Doll!\Catch that little girl!\Who're you callin' a little girl?\I look just as old as you do!\Now, now, if you keep blabbing we'll catch up to you! response:	Um, which spirit could I use?
