context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	Palti, mis, tuero, moro. Ru, spincio, tirato, cul.
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul. response:	Thank you.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you. response:	No, thank you.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you. response:	Thank you very much.
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you.\Thank you very much. response:	Well then...
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you.\Thank you very much.\Well then... response:	Um...
context: A shivering night,\or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you.\Thank you very much.\Well then...\Um... response:	Where did you hear about this road?
context: or the ends of the Earth, let's go and see it.\Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you.\Thank you very much.\Well then...\Um...\Where did you hear about this road? response:	Just the other day at Polson's Tavern.
context: Palti, mis, tuero, moro. Ru, spincio, tirato, cul.\Thank you.\No, thank you.\Thank you very much.\Well then...\Um...\Where did you hear about this road?\Just the other day at Polson's Tavern. response:	Were there any rumors about wolves?
context: Thank you.\No, thank you.\Thank you very much.\Well then...\Um...\Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves? response:	Yes, I've heard some of those.
context: No, thank you.\Thank you very much.\Well then...\Um...\Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those. response:	I only chose this road because I'm in a hurry.
context: Thank you very much.\Well then...\Um...\Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry. response:	Is that so?
context: Well then...\Um...\Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so? response:	Um, is something wrong?
context: Um...\Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong? response:	Ah, no, um...
context: Where did you hear about this road?\Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong?\Ah, no, um... response:	You can tell me. Or do you need something?
context: Just the other day at Polson's Tavern.\Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something? response:	Could you hire me?
context: Were there any rumors about wolves?\Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something?\Could you hire me? response:	Wolf and a Shepherds Lamb
context: Yes, I've heard some of those.\I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something?\Could you hire me?\Wolf and a Shepherds Lamb response:	I'm a shepherd.
context: I only chose this road because I'm in a hurry.\Is that so?\Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something?\Could you hire me?\Wolf and a Shepherds Lamb\I'm a shepherd. response:	Aside from raising sheep, I can drive away wolves, too!
context: Is that so?\Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something?\Could you hire me?\Wolf and a Shepherds Lamb\I'm a shepherd.\Aside from raising sheep, I can drive away wolves, too! response:	If you hire me, I can protect you from the wolves on your journey!
context: Um, is something wrong?\Ah, no, um...\You can tell me. Or do you need something?\Could you hire me?\Wolf and a Shepherds Lamb\I'm a shepherd.\Aside from raising sheep, I can drive away wolves, too!\If you hire me, I can protect you from the wolves on your journey! response:	How about it?
context: Ah, no, um...\You can tell me. Or do you need something?\Could you hire me?\Wolf and a Shepherds Lamb\I'm a shepherd.\Aside from raising sheep, I can drive away wolves, too!\If you hire me, I can protect you from the wolves on your journey!\How about it? response:	Enik.
