context: Hey, quit this already, Aratake. response:	We already know that you're strong.
context: Hey, quit this already, Aratake.\We already know that you're strong. response:	Sorry man. We weren't staring at you or anything.
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything. response:	Everyone acknowledges you as the strongest of the Seisen Junior High.
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High. response:	Then I guess I should go say hi.
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi. response:	To who?
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who? response:	The legendary man from Seisen.
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who?\The legendary man from Seisen. response:	The man feared as the White Tornado Beast,
context: Hey, quit this already, Aratake.\We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast, response:	Shirokawa Naoya.
context: We already know that you're strong.\Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya. response:	All right, school's out!
context: Sorry man. We weren't staring at you or anything.\Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out! response:	Today's glasses day, right?
context: Everyone acknowledges you as the strongest of the Seisen Junior High.\Then I guess I should go say hi.\To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out!\Today's glasses day, right? response:	Let's hurry over!
context: Then I guess I should go say hi.\To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out!\Today's glasses day, right?\Let's hurry over! response:	Should we run then?
context: To who?\The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out!\Today's glasses day, right?\Let's hurry over!\Should we run then? response:	Let's race then!
context: The legendary man from Seisen.\The man feared as the White Tornado Beast,\Shirokawa Naoya.\All right, school's out!\Today's glasses day, right?\Let's hurry over!\Should we run then?\Let's race then! response:	You think you can keep up with me?
