context: The next time I fall in love, response:	I'd prefer a guy who's a bit coldhearted.
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted. response:	He doesn't hafta listen to my selfish desires.
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires. response:	However, on the day after we have a quarrel,
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel, response:	he'll give me a single flower and a couple words of love.
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love. response:	That kinda guy.
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy. response:	When I was darkness at that time
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time response:	With trembling lips
context: The next time I fall in love,\I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: I'd prefer a guy who's a bit coldhearted.\He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: He doesn't hafta listen to my selfish desires.\However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: However, on the day after we have a quarrel,\he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: he'll give me a single flower and a couple words of love.\That kinda guy.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: That kinda guy.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
